# slug,chinese_name,english_name,scientific_name,wikipedia_page
whooper_swan,"","Whooper Swan","Cygnus cygnus",Whooper_Swan
graylag_goose,"","Graylag Goose","Anser anser",Graylag_Goose
common_pochard,"","Common Pochard","Aythya ferina",Common_Pochard
chinese_spot_billed_duck,"斑嘴鸭","Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
common_kingfisher,"","Common Kingfisher","Alcedo atthis",Common_Kingfisher
hobby,"","Hobby","Falco subbuteo",Hobby
eurasian_skylark,"云雀","Eurasian Skylark","Alauda arvensis",Eurasian_Skylark
whites_thrush,"","White's Thrush","Zoothera aurea",White's_Thrush
dusky_thrush,"","Dusky Thrush","Turdus eunomus",Dusky_Thrush
daurian_redstart,"","Daurian Redstart","Phoenicurus auroreus",Daurian_Redstart
little_bunting,"","Little Bunting","Emberiza pusilla",Little_Bunting
