  ⚠️  无法解析: 小䴙䴘 Little Grebe Tachybaptus ruficollis
  ⚠️  无法解析: 凤头䴙䴘 Great Crested Grebe Podiceps cristatus
  ⚠️  无法解析: 黑头䴓 Chinese Nuthatch Sitta villosa

✅ 成功转换 53 种鸟类
# slug,english_name,scientific_name,wikipedia_page
whooper_swan,"Whooper Swan","Cygnus cygnus",Whooper_Swan
graylag_goose,"Graylag Goose","Anser anser",Graylag_Goose
swan_goose,"Swan Goose","Anser cygnoides",Swan_Goose
mandarin_duck,"Mandarin Duck","Aix galericulata",Mandarin_Duck
common_pochard,"Common Pochard","Aythya ferina",Common_Pochard
falcated_duck,"Falcated Duck","Mareca falcata",Falcated_Duck
chinese_spot_billed_duck,"Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
mallard,"Mallard","Anas platyrhynchos",Mallard
oriental_turtle_dove,"Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"Spotted Dove","Spilopelia chinensis",Spotted_Dove
common_moorhen,"Common Moorhen","Gallinula chloropus",Common_Moorhen
common_coot,"Common Coot","Fulica atra",Common_Coot
eurasian_bittern,"Eurasian Bittern","Botaurus stellaris",Eurasian_Bittern
black_crowned_night_heron,"Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
chinese_pond_heron,"Chinese Pond Heron","Ardeola bacchus",Chinese_Pond_Heron
grey_heron,"Grey Heron","Ardea cinerea",Grey_Heron
great_cormorant,"Great Cormorant","Phalacrocorax carbo",Great_Cormorant
eurasian_sparrow_hawk,"Eurasian Sparrow Hawk","Accipiter nisus",Eurasian_Sparrow_Hawk
common_kingfisher,"Common Kingfisher","Alcedo atthis",Common_Kingfisher
grey_faced_woodpecker,"Grey-faced Woodpecker","Picus canus",Grey-faced_Woodpecker
grey_capped_woodpecker,"Grey-capped Woodpecker","Picoides canicapillus",Grey-capped_Woodpecker
great_spotted_woodpecker,"Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
common_kestrel,"Common Kestrel","Falco tinnunculus",Common_Kestrel
hobby,"Hobby","Falco subbuteo",Hobby
azure_winged_magpie,"Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
oriental_magpie,"Oriental Magpie","Pica serica",Oriental_Magpie
daurian_jackdaw,"Daurian Jackdaw","Corvus dauuricus",Daurian_Jackdaw
carrion_crow,"Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"Marsh Tit","Poecile palustris",Marsh_Tit
japanese_tit,"Japanese Tit","Parus minor",Japanese_Tit
eurasian_skylark,"Eurasian Skylark","Alauda arvensis",Eurasian_Skylark
bearded_reedling,"Bearded Reedling","Panurus biarmicus",Bearded_Reedling
light_vented_bulbul,"Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
pallass_leaf_warbler,"Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
silver_throated_bushtit,"Silver-throated Bushtit","Aegithalos glaucogularis",Silver-throated_Bushtit
vinous_throated_parrotbill,"Vinous-throated Parrotbill","Sinosuthora webbiana",Vinous-throated_Parrotbill
eurasian_wren,"Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
crested_myna,"Crested Myna","Acridotheres cristatellus",Crested_Myna
white_cheeked_starling,"White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
whites_thrush,"White's Thrush","Zoothera aurea",White's_Thrush
chinese_blackbird,"Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
naumanns_thrush,"Naumann's Thrush","Turdus naumanni",Naumann's_Thrush
dusky_thrush,"Dusky Thrush","Turdus eunomus",Dusky_Thrush
orange_flanked_bush_robin,"Orange-flanked Bush-robin","Tarsiger cyanurus",Orange-flanked_Bush-robin
daurian_redstart,"Daurian Redstart","Phoenicurus auroreus",Daurian_Redstart
eurasian_tree_sparrow,"Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
brambling,"Brambling","Fringilla montifringilla",Brambling
hawfinch,"Hawfinch","Coccothraustes coccothraustes",Hawfinch
chinese_grosbeak,"Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
oriental_greenfinch,"Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
yellow_throated_bunting,"Yellow-throated Bunting","Emberiza elegans",Yellow-throated_Bunting
little_bunting,"Little Bunting","Emberiza pusilla",Little_Bunting
