鸿雁 Anser cygnoides
鸳鸯 Aix galericulata
绿头鸭 Anas platyrhynchos
小䴙䴘 Tachybaptus ruficollis
山斑鸠 Streptopelia orientalis
珠颈斑鸠 Spilopelia chinensis
黑水鸡 Gallinula chloropus
白骨顶 Fulica atra
苍鹭 Ardea cinerea
普通鸬鹚 Phalacrocorax carbo
冠鱼狗 Megaceryle lugubris
灰头绿啄木鸟 Picus canus
星头啄木鸟 Picoides canicapillus
大斑啄木鸟 Dendrocopos major
灰喜鹊 Cyanopica cyanus
喜鹊 Pica serica
小嘴乌鸦 Corvus corone
大嘴乌鸦 Corvus macrorhynchos
沼泽山雀 Poecile palustris
白头鹎 Pycnonotus sinensis
银喉长尾山雀 Aegithalos glaucogularis
棕头鸦雀 Sinosuthora webbiana
黑头䴓 Sitta villosa
丝光椋鸟 Spodiopsar sericeus
乌鸫 Turdus mandarinus
红尾斑鸫 Turdus naumanni
戴菊 Regulus regulus
麻雀 Passer montanus
燕雀 Fringilla montifringilla
锡嘴雀 Coccothraustes coccothraustes
金翅雀 Chloris sinica
小鹀 Emberiza pusilla
褐头山雀 Poecile montanus
鹪鹩 Troglodytes troglodytes
太平鸟 Bombycilla garrulus
黄喉鹀 Emberiza elegans
