小白额雁 Anser erythropus
鹊鸭 Bucephala clangula
斑头秋沙鸭 Mergellus albellus
普通秋沙鸭 Mergus merganser
赤麻鸭 Tadorna ferruginea
鸳鸯 Aix galericulata
红头潜鸭 Aythya ferina
青头潜鸭 Aythya baeri
白眼潜鸭 Aythya nyroca
凤头潜鸭 Aythya fuligula
斑背潜鸭 Aythya marila
花脸鸭 Sibirionetta formosa
赤膀鸭 Mareca strepera
斑嘴鸭 Anas zonorhyncha
绿头鸭 Anas platyrhynchos
小䴙䴘 Tachybaptus ruficollis
凤头䴙䴘 Podiceps cristatus
黑颈䴙䴘 Podiceps nigricollis
山斑鸠 Streptopelia orientalis
珠颈斑鸠 Spilopelia chinensis
黑水鸡 Gallinula chloropus
白骨顶 Fulica atra
大麻鳽 Botaurus stellaris
夜鹭 Nycticorax nycticorax
苍鹭 Ardea cinerea
普通鸬鹚 Phalacrocorax carbo
三趾鸥 Rissa tridactyla
雀鹰 Accipiter nisus
苍鹰 Accipiter gentilis
鹊鹞 Circus melanoleucos
普通翠鸟 Alcedo atthis
灰头绿啄木鸟 Picus canus
星头啄木鸟 Picoides canicapillus
大斑啄木鸟 Dendrocopos major
红隼 Falco tinnunculus
游隼 Falco peregrinus
灰喜鹊 Cyanopica cyanus
红嘴蓝鹊 Urocissa erythroryncha
喜鹊 Pica serica
达乌里寒鸦 Corvus dauuricus
小嘴乌鸦 Corvus corone
大嘴乌鸦 Corvus macrorhynchos
黄腹山雀 Pardaliparus venustulus
沼泽山雀 Poecile palustris
大山雀 Parus minor
白头鹎 Pycnonotus sinensis
黄眉柳莺 Phylloscopus inornatus
黄腰柳莺 Phylloscopus proregulus
银喉长尾山雀 Aegithalos glaucogularis
棕头鸦雀 Sinosuthora webbiana
黑头䴓 Sitta villosa
鹪鹩 Troglodytes troglodytes
乌鸫 Turdus mandarinus
赤颈鸫 Turdus ruficollis
红尾斑鸫 Turdus naumanni
麻雀 Passer montanus
燕雀 Fringilla montifringilla
锡嘴雀 Coccothraustes coccothraustes
黑尾蜡嘴雀 Eophona migratoria
金翅雀 Chloris sinica
