# slug,chinese_name,english_name,scientific_name,wikipedia_page
bar_headed_goose,"斑头雁","Bar-headed Goose","Anser indicus",Bar-headed_Goose
graylag_goose,"灰雁","Graylag Goose","Anser anser",Graylag_Goose
swan_goose,"鸿雁","Swan Goose","Anser cygnoides",Swan_Goose
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eurasian_moorhen,"","Eurasian Moorhen","Gallinula chloropus",Eurasian_Moorhen
eurasian_coot,"","Eurasian Coot","Fulica atra",Eurasian_Coot
chinese_pond_heron,"池鹭","Chinese Pond Heron","Ardeola bacchus",Chinese_Pond_Heron
gray_heron,"","Gray Heron","Ardea cinerea",Gray_Heron
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
eurasian_sparrowhawk,"","Eurasian Sparrowhawk","Accipiter nisus",Eurasian_Sparrowhawk
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
gray_headed_woodpecker,"","Gray-headed Woodpecker","Picus canus",Gray-headed_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
silver_throated_tit,"银喉长尾山雀","Silver-throated Tit","Aegithalos glaucogularis",Silver-throated_Tit
reed_parrotbill,"","Reed Parrotbill","Paradoxornis heudei",Reed_Parrotbill
snowy_browed_nuthatch,"","Snowy-browed Nuthatch","Sitta villosa",Snowy-browed_Nuthatch
eurasian_wren,"鹪鹩","Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
red_billed_starling,"","Red-billed Starling","Spodiopsar sericeus",Red-billed_Starling
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
naumanns_thrush,"红尾斑鸫","Naumann's Thrush","Turdus naumanni",Naumann's_Thrush
dusky_thrush,"斑鸫","Dusky Thrush","Turdus eunomus",Dusky_Thrush
daurian_redstart,"北红尾鸲","Daurian Redstart","Phoenicurus auroreus",Daurian_Redstart
goldcrest,"","Goldcrest","Regulus regulus",Goldcrest
bohemian_waxwing,"","Bohemian Waxwing","Bombycilla garrulus",Bohemian_Waxwing
japanese_waxwing,"小太平鸟","Japanese Waxwing","Bombycilla japonica",Japanese_Waxwing
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
water_pipit,"水鹨","Water Pipit","Anthus spinoletta",Water_Pipit
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
yellow_billed_grosbeak,"","Yellow-billed Grosbeak","Eophona migratoria",Yellow-billed_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
black_faced_bunting,"","Black-faced Bunting","Emberiza spodocephala",Black-faced_Bunting
eastern_buzzard,"","Eastern Buzzard","Buteo japonicus",Eastern_Buzzard
common_hoopoe,"","Common Hoopoe","Upupa epops",Common_Hoopoe
rufous_bellied_woodpecker,"","Rufous-bellied Woodpecker","Dendrocopos hyperythrus",Rufous-bellied_Woodpecker
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
eurasian_nuthatch,"","Eurasian Nuthatch","Sitta europaea",Eurasian_Nuthatch
crested_myna,"八哥","Crested Myna","Acridotheres cristatellus",Crested_Myna
