# slug,chinese_name,english_name,scientific_name,wikipedia_page
lesser_white_fronted_goose,"","Lesser White-fronted Goose","Anser erythropus",Lesser_White-fronted_Goose
common_goldeneye,"","Common Goldeneye","Bucephala clangula",Common_Goldeneye
smew,"","Smew","Mergellus albellus",Smew
common_merganser,"","Common Merganser","Mergus merganser",Common_Merganser
ruddy_shelduck,"","Ruddy Shelduck","Tadorna ferruginea",Ruddy_Shelduck
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
common_pochard,"红头潜鸭","Common Pochard","Aythya ferina",Common_Pochard
baers_pochard,"","Baer's Pochard","Aythya baeri",Baer's_Pochard
ferruginous_duck,"","Ferruginous Duck","Aythya nyroca",Ferruginous_Duck
tufted_duck,"","Tufted Duck","Aythya fuligula",Tufted_Duck
greater_scaup,"","Greater Scaup","Aythya marila",Greater_Scaup
baikal_teal,"","Baikal Teal","Sibirionetta formosa",Baikal_Teal
gadwall,"","Gadwall","Mareca strepera",Gadwall
eastern_spot_billed_duck,"","Eastern Spot-billed Duck","Anas zonorhyncha",Eastern_Spot-billed_Duck
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
great_crested_grebe,"凤头䴙䴘","Great Crested Grebe","Podiceps cristatus",Great_Crested_Grebe
eared_grebe,"","Eared Grebe","Podiceps nigricollis",Eared_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eurasian_moorhen,"","Eurasian Moorhen","Gallinula chloropus",Eurasian_Moorhen
eurasian_coot,"","Eurasian Coot","Fulica atra",Eurasian_Coot
eurasian_bittern,"大麻鳽","Eurasian Bittern","Botaurus stellaris",Eurasian_Bittern
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
gray_heron,"","Gray Heron","Ardea cinerea",Gray_Heron
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
black_legged_kittiwake,"","Black-legged Kittiwake","Rissa tridactyla",Black-legged_Kittiwake
eurasian_sparrowhawk,"","Eurasian Sparrowhawk","Accipiter nisus",Eurasian_Sparrowhawk
pied_harrier,"","Pied Harrier","Circus melanoleucos",Pied_Harrier
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
gray_headed_woodpecker,"","Gray-headed Woodpecker","Picus canus",Gray-headed_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
eurasian_kestrel,"","Eurasian Kestrel","Falco tinnunculus",Eurasian_Kestrel
peregrine_falcon,"","Peregrine Falcon","Falco peregrinus",Peregrine_Falcon
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
barn_swallow,"","Barn Swallow","Hirundo rustica",Barn_Swallow
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
yellow_browed_warbler,"","Yellow-browed Warbler","Phylloscopus inornatus",Yellow-browed_Warbler
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
silver_throated_tit,"银喉长尾山雀","Silver-throated Tit","Aegithalos glaucogularis",Silver-throated_Tit
snowy_browed_nuthatch,"","Snowy-browed Nuthatch","Sitta villosa",Snowy-browed_Nuthatch
eurasian_wren,"鹪鹩","Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
red_throated_thrush,"","Red-throated Thrush","Turdus ruficollis",Red-throated_Thrush
naumanns_thrush,"红尾斑鸫","Naumann's Thrush","Turdus naumanni",Naumann's_Thrush
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
yellow_billed_grosbeak,"","Yellow-billed Grosbeak","Eophona migratoria",Yellow-billed_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
