# slug,chinese_name,english_name,scientific_name,wikipedia_page
graylag_goose,"灰雁","Graylag Goose","Anser anser",Graylag_Goose
swan_goose,"鸿雁","Swan Goose","Anser cygnoides",Swan_Goose
common_merganser,"","Common Merganser","Mergus merganser",Common_Merganser
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
tufted_duck,"","Tufted Duck","Aythya fuligula",Tufted_Duck
falcated_duck,"罗纹鸭","Falcated Duck","Mareca falcata",Falcated_Duck
eurasian_wigeon,"","Eurasian Wigeon","Mareca penelope",Eurasian_Wigeon
eastern_spot_billed_duck,"","Eastern Spot-billed Duck","Anas zonorhyncha",Eastern_Spot-billed_Duck
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
great_crested_grebe,"凤头䴙䴘","Great Crested Grebe","Podiceps cristatus",Great_Crested_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eurasian_moorhen,"","Eurasian Moorhen","Gallinula chloropus",Eurasian_Moorhen
eurasian_coot,"","Eurasian Coot","Fulica atra",Eurasian_Coot
black_stork,"","Black Stork","Ciconia nigra",Black_Stork
chinese_pond_heron,"池鹭","Chinese Pond Heron","Ardeola bacchus",Chinese_Pond_Heron
gray_heron,"","Gray Heron","Ardea cinerea",Gray_Heron
little_egret,"","Little Egret","Egretta garzetta",Little_Egret
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
eurasian_sparrowhawk,"","Eurasian Sparrowhawk","Accipiter nisus",Eurasian_Sparrowhawk
common_hoopoe,"","Common Hoopoe","Upupa epops",Common_Hoopoe
gray_headed_woodpecker,"","Gray-headed Woodpecker","Picus canus",Gray-headed_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
eurasian_kestrel,"","Eurasian Kestrel","Falco tinnunculus",Eurasian_Kestrel
peregrine_falcon,"","Peregrine Falcon","Falco peregrinus",Peregrine_Falcon
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
silver_throated_tit,"银喉长尾山雀","Silver-throated Tit","Aegithalos glaucogularis",Silver-throated_Tit
snowy_browed_nuthatch,"","Snowy-browed Nuthatch","Sitta villosa",Snowy-browed_Nuthatch
eurasian_wren,"鹪鹩","Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
dusky_thrush,"斑鸫","Dusky Thrush","Turdus eunomus",Dusky_Thrush
siberian_accentor,"","Siberian Accentor","Prunella montanella",Siberian_Accentor
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
yellow_billed_grosbeak,"","Yellow-billed Grosbeak","Eophona migratoria",Yellow-billed_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
yellow_throated_bunting,"黄喉鹀","Yellow-throated Bunting","Emberiza elegans",Yellow-throated_Bunting
