# slug,chinese_name,english_name,scientific_name,wikipedia_page
whooper_swan,"大天鹅","Whooper Swan","Cygnus cygnus",Whooper_Swan
mandarin_duck,"鸳鸯","Mandarin Duck","Aix galericulata",Mandarin_Duck
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
great_crested_grebe,"凤头䴙䴘","Great Crested Grebe","Podiceps cristatus",Great_Crested_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eastern_water_rail,"普通秧鸡","Eastern Water Rail","Rallus indicus",Eastern_Water_Rail
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
grey_heron,"苍鹭","Grey Heron","Ardea cinerea",Grey_Heron
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
eurasian_hoopoe,"戴胜","Eurasian Hoopoe","Upupa epops",Eurasian_Hoopoe
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
grey_faced_woodpecker,"灰头绿啄木鸟","Grey-faced Woodpecker","Picus canus",Grey-faced_Woodpecker
grey_capped_woodpecker,"星头啄木鸟","Grey-capped Woodpecker","Picoides canicapillus",Grey-capped_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
collared_crow,"白颈鸦","Collared Crow","Corvus pectoralis",Collared_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
willow_tit,"褐头山雀","Willow Tit","Poecile montanus",Willow_Tit
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
silver_throated_bushtit,"银喉长尾山雀","Silver-throated Bushtit","Aegithalos glaucogularis",Silver-throated_Bushtit
vinous_throated_parrotbill,"棕头鸦雀","Vinous-throated Parrotbill","Sinosuthora webbiana",Vinous-throated_Parrotbill
reed_parrotbill,"震旦鸦雀","Reed Parrotbill","Paradoxornis heudei",Reed_Parrotbill
eurasian_wren,"鹪鹩","Eurasian Wren","Troglodytes troglodytes",Eurasian_Wren
red_billed_starling,"丝光椋鸟","Red-billed Starling","Spodiopsar sericeus",Red-billed_Starling
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
naumanns_thrush,"红尾斑鸫","Naumann's Thrush","Turdus naumanni",Naumann's_Thrush
orange_flanked_bush_robin,"红胁蓝尾鸲","Orange-flanked Bush-robin","Tarsiger cyanurus",Orange-flanked_Bush-robin
daurian_redstart,"北红尾鸲","Daurian Redstart","Phoenicurus auroreus",Daurian_Redstart
goldcrest,"戴菊","Goldcrest","Regulus regulus",Goldcrest
bohemian_waxwing,"太平鸟","Bohemian Waxwing","Bombycilla garrulus",Bohemian_Waxwing
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
water_pipit,"水鹨","Water Pipit","Anthus spinoletta",Water_Pipit
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
chinese_grosbeak,"黑尾蜡嘴雀","Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
japanese_grosbeak,"黑头蜡嘴雀","Japanese Grosbeak","Eophona personata",Japanese_Grosbeak
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
chinese_spot_billed_duck,"斑嘴鸭","Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
peregrine_falcon,"游隼","Peregrine Falcon","Falco peregrinus",Peregrine_Falcon
dusky_warbler,"褐柳莺","Dusky Warbler","Phylloscopus fuscatus",Dusky_Warbler
long_tailed_tit,"北长尾山雀","Long-tailed Tit","Aegithalos caudatus",Long-tailed_Tit
red_throated_thrush,"赤颈鸫","Red-throated Thrush","Turdus ruficollis",Red-throated_Thrush
japanese_waxwing,"小太平鸟","Japanese Waxwing","Bombycilla japonica",Japanese_Waxwing
little_bunting,"小鹀","Little Bunting","Emberiza pusilla",Little_Bunting
black_faced_bunting,"灰头鹀","Black-faced Bunting","Emberiza spodocephala",Black-faced_Bunting
