# slug,chinese_name,english_name,scientific_name,wikipedia_page
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eurasian_sparrow_hawk,"雀鹰","Eurasian Sparrow Hawk","Accipiter nisus",Eurasian_Sparrow_Hawk
eurasian_hoopoe,"戴胜","Eurasian Hoopoe","Upupa epops",Eurasian_Hoopoe
grey_faced_woodpecker,"灰头绿啄木鸟","Grey-faced Woodpecker","Picus canus",Grey-faced_Woodpecker
grey_capped_woodpecker,"星头啄木鸟","Grey-capped Woodpecker","Picoides canicapillus",Grey-capped_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
willow_tit,"褐头山雀","Willow Tit","Poecile montanus",Willow_Tit
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
crested_myna,"八哥","Crested Myna","Acridotheres cristatellus",Crested_Myna
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
naumanns_thrush,"红尾斑鸫","Naumann's Thrush","Turdus naumanni",Naumann's_Thrush
dusky_thrush,"斑鸫","Dusky Thrush","Turdus eunomus",Dusky_Thrush
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
hawfinch,"锡嘴雀","Hawfinch","Coccothraustes coccothraustes",Hawfinch
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
black_stork,"黑鹳","Black Stork","Ciconia nigra",Black_Stork
common_kestrel,"红隼","Common Kestrel","Falco tinnunculus",Common_Kestrel
peregrine_falcon,"游隼","Peregrine Falcon","Falco peregrinus",Peregrine_Falcon
daurian_jackdaw,"达乌里寒鸦","Daurian Jackdaw","Corvus dauuricus",Daurian_Jackdaw
yellow_bellied_tit,"黄腹山雀","Yellow-bellied Tit","Pardaliparus venustulus",Yellow-bellied_Tit
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
silver_throated_bushtit,"银喉长尾山雀","Silver-throated Bushtit","Aegithalos glaucogularis",Silver-throated_Bushtit
red_throated_thrush,"赤颈鸫","Red-throated Thrush","Turdus ruficollis",Red-throated_Thrush
european_robin,"欧亚鸲","European Robin","Erithacus rubecula",European_Robin
goldcrest,"戴菊","Goldcrest","Regulus regulus",Goldcrest
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
chinese_grosbeak,"黑尾蜡嘴雀","Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
japanese_grosbeak,"黑头蜡嘴雀","Japanese Grosbeak","Eophona personata",Japanese_Grosbeak
