# slug,chinese_name,english_name,scientific_name,wikipedia_page
common_pheasant,"环颈雉","Common Pheasant","Phasianus colchicus",Common_Pheasant
tundra_swan,"小天鹅","Tundra Swan","Cygnus columbianus",Tundra_Swan
common_goldeneye,"鹊鸭","Common Goldeneye","Bucephala clangula",Common_Goldeneye
smew,"斑头秋沙鸭","Smew","Mergellus albellus",Smew
common_merganser,"普通秋沙鸭","Common Merganser","Mergus merganser",Common_Merganser
ruddy_shelduck,"赤麻鸭","Ruddy Shelduck","Tadorna ferruginea",Ruddy_Shelduck
common_pochard,"红头潜鸭","Common Pochard","Aythya ferina",Common_Pochard
ferruginous_duck,"白眼潜鸭","Ferruginous Duck","Aythya nyroca",Ferruginous_Duck
tufted_duck,"凤头潜鸭","Tufted Duck","Aythya fuligula",Tufted_Duck
falcated_duck,"罗纹鸭","Falcated Duck","Mareca falcata",Falcated_Duck
gadwall,"赤膀鸭","Gadwall","Mareca strepera",Gadwall
mallard,"绿头鸭","Mallard","Anas platyrhynchos",Mallard
eurasian_teal,"绿翅鸭","Eurasian Teal","Anas crecca",Eurasian_Teal
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
great_crested_grebe,"凤头䴙䴘","Great Crested Grebe","Podiceps cristatus",Great_Crested_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
eurasian_collared_dove,"灰斑鸠","Eurasian Collared Dove","Streptopelia decaocto",Eurasian_Collared_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
eastern_water_rail,"普通秧鸡","Eastern Water Rail","Rallus indicus",Eastern_Water_Rail
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
eurasian_bittern,"大麻鳽","Eurasian Bittern","Botaurus stellaris",Eurasian_Bittern
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
grey_heron,"苍鹭","Grey Heron","Ardea cinerea",Grey_Heron
great_egret,"大白鹭","Great Egret","Ardea alba",Great_Egret
little_egret,"白鹭","Little Egret","Egretta garzetta",Little_Egret
dalmatian_pelican,"卷羽鹈鹕","Dalmatian Pelican","Pelecanus crispus",Dalmatian_Pelican
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
mew_gull,"普通海鸥","Mew Gull","Larus canus",Mew_Gull
vega_gull,"西伯利亚银鸥","Vega Gull","Larus vegae",Vega_Gull
eurasian_sparrow_hawk,"雀鹰","Eurasian Sparrow Hawk","Accipiter nisus",Eurasian_Sparrow_Hawk
hen_harrier,"白尾鹞","Hen Harrier","Circus cyaneus",Hen_Harrier
white_tailed_sea_eagle,"白尾海雕","White-tailed Sea Eagle","Haliaeetus albicilla",White-tailed_Sea_Eagle
upland_buzzard,"大鵟","Upland Buzzard","Buteo hemilasius",Upland_Buzzard
eastern_buzzard,"普通鵟","Eastern Buzzard","Buteo japonicus",Eastern_Buzzard
eurasian_hoopoe,"戴胜","Eurasian Hoopoe","Upupa epops",Eurasian_Hoopoe
grey_faced_woodpecker,"灰头绿啄木鸟","Grey-faced Woodpecker","Picus canus",Grey-faced_Woodpecker
grey_capped_woodpecker,"星头啄木鸟","Grey-capped Woodpecker","Picoides canicapillus",Grey-capped_Woodpecker
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
common_kestrel,"红隼","Common Kestrel","Falco tinnunculus",Common_Kestrel
long_tailed_shrike,"棕背伯劳","Long-tailed Shrike","Lanius schach",Long-tailed_Shrike
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
daurian_jackdaw,"达乌里寒鸦","Daurian Jackdaw","Corvus dauuricus",Daurian_Jackdaw
carrion_crow,"小嘴乌鸦","Carrion Crow","Corvus corone",Carrion_Crow
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
marsh_tit,"沼泽山雀","Marsh Tit","Poecile palustris",Marsh_Tit
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
