# slug,chinese_name,english_name,scientific_name,wikipedia_page
oriental_stork,"东方白鹳","Oriental Stork","Ciconia boyciana",Oriental_Stork
osprey,"鹗","Osprey","Pandion haliaetus",Osprey
oriental_honey_buzzard,"凤头蜂鹰","Oriental Honey-buzzard","Pernis ptilorhynchus",Oriental_Honey-buzzard
japanese_sparrow_hawk,"日本松雀鹰","Japanese Sparrow Hawk","Accipiter gularis",Japanese_Sparrow_Hawk
eurasian_sparrow_hawk,"雀鹰","Eurasian Sparrow Hawk","Accipiter nisus",Eurasian_Sparrow_Hawk
northern_goshawk,"苍鹰","Northern Goshawk","Accipiter gentilis",Northern_Goshawk
black_kite,"黑鸢","Black Kite","Milvus migrans",Black_Kite
grey_faced_buzzard,"灰脸鵟鹰","Grey-faced Buzzard","Butastur indicus",Grey-faced_Buzzard
upland_buzzard,"大鵟","Upland Buzzard","Buteo hemilasius",Upland_Buzzard
eastern_buzzard,"普通鵟","Eastern Buzzard","Buteo japonicus",Eastern_Buzzard
eastern_red_footed_falcon,"红脚隼","Eastern Red-footed Falcon","Falco amurensis",Eastern_Red-footed_Falcon
peregrine_falcon,"游隼","Peregrine Falcon","Falco peregrinus",Peregrine_Falcon
