# slug,chinese_name,english_name,scientific_name,wikipedia_page
chinese_spot_billed_duck,"斑嘴鸭","Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
great_egret,"大白鹭","Great Egret","Ardea alba",Great_Egret
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
oriental_magpie,"喜鹊","Oriental Magpie","Pica serica",Oriental_Magpie
black_throated_bushtit,"红头长尾山雀","Black-throated Bushtit","Aegithalos concinnus",Black-throated_Bushtit
white_browed_laughingthrush,"白颊噪鹛","White-browed Laughingthrush","Pterorhinus sannio",White-browed_Laughingthrush
crested_myna,"八哥","Crested Myna","Acridotheres cristatellus",Crested_Myna
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
japanese_grosbeak,"黑头蜡嘴雀","Japanese Grosbeak","Eophona personata",Japanese_Grosbeak
