# slug,chinese_name,english_name,scientific_name,wikipedia_page
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
grey_heron,"苍鹭","Grey Heron","Ardea cinerea",Grey_Heron
little_egret,"白鹭","Little Egret","Egretta garzetta",Little_Egret
great_cormorant,"普通鸬鹚","Great Cormorant","Phalacrocorax carbo",Great_Cormorant
great_spotted_woodpecker,"大斑啄木鸟","Great Spotted Woodpecker","Dendrocopos major",Great_Spotted_Woodpecker
azure_winged_magpie,"灰喜鹊","Azure-winged Magpie","Cyanopica cyanus",Azure-winged_Magpie
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
black_throated_bushtit,"红头长尾山雀","Black-throated Bushtit","Aegithalos concinnus",Black-throated_Bushtit
white_browed_laughingthrush,"白颊噪鹛","White-browed Laughingthrush","Pterorhinus sannio",White-browed_Laughingthrush
white_cheeked_starling,"灰椋鸟","White-cheeked Starling","Spodiopsar cineraceus",White-cheeked_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
grey_wagtail,"灰鹡鸰","Grey Wagtail","Motacilla cinerea",Grey_Wagtail
white_wagtail,"白鹡鸰","White Wagtail","Motacilla alba",White_Wagtail
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
chinese_grosbeak,"黑尾蜡嘴雀","Chinese Grosbeak","Eophona migratoria",Chinese_Grosbeak
