山斑鸠 Oriental Turtle Dove Streptopelia orientalis
珠颈斑鸠 Spotted Dove Spilopelia chinensis
戴胜 Eurasian Hoopoe Upupa epops
普通翠鸟 Common Kingfisher Alcedo atthis
灰喜鹊 Azure-winged Magpie Cyanopica cyanus
喜鹊 Oriental Magpie Pica serica
大山雀 Japanese Tit Parus minor
领雀嘴鹎 Collared Finchbill Spizixos semitorques
黄臀鹎 Brown-breasted Bulbul Pycnonotus xanthorrhous
白头鹎 Light-vented Bulbul Pycnonotus sinensis
红头长尾山雀 Black-throated Bushtit Aegithalos concinnus
白颊噪鹛 White-browed Laughingthrush Pterorhinus sannio
山噪鹛 Plain Laughingthrush Pterorhinus davidi
灰椋鸟 White-cheeked Starling Spodiopsar cineraceus
乌鸫 Chinese Blackbird Turdus mandarinus
红尾斑鸫 Naumann's Thrush Turdus naumanni
斑鸫 Dusky Thrush Turdus eunomus
红胁蓝尾鸲 Orange-flanked Bush-robin Tarsiger cyanurus
麻雀 Eurasian Tree Sparrow Passer montanus
燕雀 Brambling Fringilla montifringilla
黑尾蜡嘴雀 Chinese Grosbeak Eophona migratoria
金翅雀 Oriental Greenfinch Chloris sinica
