# slug,chinese_name,english_name,scientific_name,wikipedia_page
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
greater_coucal,"褐翅鸦鹃","Greater Coucal","Centropus sinensis",Greater_Coucal
western_koel,"噪鹃","Western Koel","Eudynamys scolopaceus",Western_Koel
white_breasted_waterhen,"白胸苦恶鸟","White-breasted Waterhen","Amaurornis phoenicurus",White-breasted_Waterhen
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
yellow_bittern,"黄斑苇鳽","Yellow Bittern","Ixobrychus sinensis",Yellow_Bittern
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
chinese_pond_heron,"池鹭","Chinese Pond Heron","Ardeola bacchus",Chinese_Pond_Heron
little_egret,"白鹭","Little Egret","Egretta garzetta",Little_Egret
asian_barred_owlet,"斑头鸺鹠","Asian Barred Owlet","Glaucidium cuculoides",Asian_Barred_Owlet
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
white_throated_kingfisher,"白胸翡翠","White-throated Kingfisher","Halcyon smyrnensis",White-throated_Kingfisher
great_barbet,"大拟啄木鸟","Great Barbet","Psilopogon virens",Great_Barbet
long_tailed_shrike,"棕背伯劳","Long-tailed Shrike","Lanius schach",Long-tailed_Shrike
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
yellow_bellied_prinia,"黄腹山鹪莺","Yellow-bellied Prinia","Prinia flaviventris",Yellow-bellied_Prinia
plain_prinia,"纯色山鹪莺","Plain Prinia","Prinia inornata",Plain_Prinia
common_tailorbird,"长尾缝叶莺","Common Tailorbird","Orthotomus sutorius",Common_Tailorbird
barn_swallow,"家燕","Barn Swallow","Hirundo rustica",Barn_Swallow
red_whiskered_bulbul,"红耳鹎","Red-whiskered Bulbul","Pycnonotus jocosus",Red-whiskered_Bulbul
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
yellow_browed_warbler,"黄眉柳莺","Yellow-browed Warbler","Phylloscopus inornatus",Yellow-browed_Warbler
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
dusky_warbler,"褐柳莺","Dusky Warbler","Phylloscopus fuscatus",Dusky_Warbler
black_throated_bushtit,"红头长尾山雀","Black-throated Bushtit","Aegithalos concinnus",Black-throated_Bushtit
swinhoes_white_eye,"暗绿绣眼鸟","Swinhoe's White-eye","Zosterops simplex",Swinhoe's_White-eye
masked_laughingthrush,"黑脸噪鹛","Masked Laughingthrush","Pterorhinus perspicillatus",Masked_Laughingthrush
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
oriental_magpie_robin,"鹊鸲","Oriental Magpie-robin","Copsychus saularis",Oriental_Magpie-robin
asian_brown_flycatcher,"北灰鹟","Asian Brown Flycatcher","Muscicapa dauurica",Asian_Brown_Flycatcher
fire_breasted_flowerpecker,"红胸啄花鸟","Fire-breasted Flowerpecker","Dicaeum ignipectus",Fire-breasted_Flowerpecker
fork_tailed_sunbird,"叉尾太阳鸟","Fork-tailed Sunbird","Aethopyga christinae",Fork-tailed_Sunbird
scaly_breasted_munia,"斑文鸟","Scaly-breasted Munia","Lonchura punctulata",Scaly-breasted_Munia
grey_wagtail,"灰鹡鸰","Grey Wagtail","Motacilla cinerea",Grey_Wagtail
white_wagtail,"白鹡鸰","White Wagtail","Motacilla alba",White_Wagtail
