珠颈斑鸠 Spotted Dove Spilopelia chinensis
白胸苦恶鸟 White-breasted Waterhen Amaurornis phoenicurus
白胸翡翠 White-throated Kingfisher Halcyon smyrnensis
斑姬啄木鸟 Speckled Piculet Picumnus innominatus
红嘴蓝鹊 Red-billed Blue Magpie Urocissa erythroryncha
长尾缝叶莺 Common Tailorbird Orthotomus sutorius
红耳鹎 Red-whiskered Bulbul Pycnonotus jocosus
红头长尾山雀 Black-throated Bushtit Aegithalos concinnus
暗绿绣眼鸟 Swinhoe's White-eye Zosterops simplex
乌鸫 Chinese Blackbird Turdus mandarinus
鹊鸲 Oriental Magpie-robin Copsychus saularis
红尾歌鸲 Rufous-tailed Robin Larvivora sibilans
叉尾太阳鸟 Fork-tailed Sunbird Aethopyga christinae
白鹡鸰 White Wagtail Motacilla alba
