# slug,chinese_name,english_name,scientific_name,wikipedia_page
silver_pheasant,"白鹇","Silver Pheasant","Lophura nycthemera",Silver_Pheasant
grey_chinned_minivet,"灰喉山椒鸟","Grey-chinned Minivet","Pericrocotus solaris",Grey-chinned_Minivet
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
red_whiskered_bulbul,"红耳鹎","Red-whiskered Bulbul","Pycnonotus jocosus",Red-whiskered_Bulbul
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
chestnut_bulbul,"栗背短脚鹎","Chestnut Bulbul","Hemixos castanonotus",Chestnut_Bulbul
yellow_browed_warbler,"黄眉柳莺","Yellow-browed Warbler","Phylloscopus inornatus",Yellow-browed_Warbler
rufous_faced_warbler,"棕脸鹟莺","Rufous-faced Warbler","Abroscopus albogularis",Rufous-faced_Warbler
swinhoes_white_eye,"暗绿绣眼鸟","Swinhoe's White-eye","Zosterops simplex",Swinhoe's_White-eye
red_billed_leiothrix,"红嘴相思鸟","Red-billed Leiothrix","Leiothrix lutea",Red-billed_Leiothrix
grey_backed_thrush,"灰背鸫","Grey-backed Thrush","Turdus hortulorum",Grey-backed_Thrush
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
orange_flanked_bush_robin,"红胁蓝尾鸲","Orange-flanked Bush-robin","Tarsiger cyanurus",Orange-flanked_Bush-robin
daurian_redstart,"北红尾鸲","Daurian Redstart","Phoenicurus auroreus",Daurian_Redstart
olive_backed_pipit,"树鹨","Olive-backed Pipit","Anthus hodgsoni",Olive-backed_Pipit
brambling,"燕雀","Brambling","Fringilla montifringilla",Brambling
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
