白鹇 Silver Pheasant Lophura nycthemera
灰喉山椒鸟 Grey-chinned Minivet Pericrocotus solaris
大山雀 Japanese Tit Parus minor
红耳鹎 Red-whiskered Bulbul Pycnonotus jocosus
白头鹎 Light-vented Bulbul Pycnonotus sinensis
栗背短脚鹎 Chestnut Bulbul Hemixos castanonotus
黄眉柳莺 Yellow-browed Warbler Phylloscopus inornatus
棕脸鹟莺 Rufous-faced Warbler Abroscopus albogularis
暗绿绣眼鸟 Swinhoe's White-eye Zosterops simplex
红嘴相思鸟 Red-billed Leiothrix Leiothrix lutea
灰背鸫 Grey-backed Thrush Turdus hortulorum
乌鸫 Chinese Blackbird Turdus mandarinus
红胁蓝尾鸲 Orange-flanked Bush-robin Tarsiger cyanurus
北红尾鸲 Daurian Redstart Phoenicurus auroreus
树鹨 Olive-backed Pipit Anthus hodgsoni
燕雀 Brambling Fringilla montifringilla
金翅雀 Oriental Greenfinch Chloris sinica
