斑嘴鸭 Chinese Spot-billed Duck Anas zonorhyncha
夜鹭 Black-crowned Night-heron Nycticorax nycticorax
池鹭 Chinese Pond Heron Ardeola bacchus
苍鹭 Grey Heron Ardea cinerea
大白鹭 Great Egret Ardea alba
白鹭 Little Egret Egretta garzetta
普通鸬鹚 Great Cormorant Phalacrocorax carbo
鹊鸲 Oriental Magpie-robin Copsychus saularis
白鹡鸰 White Wagtail Motacilla alba
黑尾蜡嘴雀 Chinese Grosbeak Eophona migratoria
绿头鸭 Mallard Anas platyrhynchos
山斑鸠 Oriental Turtle Dove Streptopelia orientalis
珠颈斑鸠 Spotted Dove Spilopelia chinensis
小白腰雨燕 House Swift Apus nipalensis
褐翅鸦鹃 Greater Coucal Centropus sinensis
白胸苦恶鸟 White-breasted Waterhen Amaurornis phoenicurus
黑水鸡 Common Moorhen Gallinula chloropus
普通翠鸟 Common Kingfisher Alcedo atthis
棕背伯劳 Long-tailed Shrike Lanius schach
大山雀 Japanese Tit Parus minor
黄腹山鹪莺 Yellow-bellied Prinia Prinia flaviventris
纯色山鹪莺 Plain Prinia Prinia inornata
长尾缝叶莺 Common Tailorbird Orthotomus sutorius
红耳鹎 Red-whiskered Bulbul Pycnonotus jocosus
白头鹎 Light-vented Bulbul Pycnonotus sinensis
白喉红臀鹎 Sooty-headed Bulbul Pycnonotus aurigaster
黄眉柳莺 Yellow-browed Warbler Phylloscopus inornatus
褐柳莺 Dusky Warbler Phylloscopus fuscatus
暗绿绣眼鸟 Swinhoe's White-eye Zosterops simplex
白颊噪鹛 White-browed Laughingthrush Pterorhinus sannio
黑脸噪鹛 Masked Laughingthrush Pterorhinus perspicillatus
八哥 Crested Myna Acridotheres cristatellus
黑领椋鸟 Black-collared Starling Gracupica nigricollis
乌鸫 Chinese Blackbird Turdus mandarinus
东亚石䳭 Stejneger's Stonechat Saxicola stejnegeri
叉尾太阳鸟 Fork-tailed Sunbird Aethopyga christinae
树鹨 Olive-backed Pipit Anthus hodgsoni
金翅雀 Oriental Greenfinch Chloris sinica
