# slug,chinese_name,english_name,scientific_name,wikipedia_page
ferruginous_duck,"白眼潜鸭","Ferruginous Duck","Aythya nyroca",Ferruginous_Duck
chinese_spot_billed_duck,"斑嘴鸭","Chinese Spot-billed Duck","Anas zonorhyncha",Chinese_Spot-billed_Duck
little_grebe,"小䴙䴘","Little Grebe","Tachybaptus ruficollis",Little_Grebe
oriental_turtle_dove,"山斑鸠","Oriental Turtle Dove","Streptopelia orientalis",Oriental_Turtle_Dove
spotted_dove,"珠颈斑鸠","Spotted Dove","Spilopelia chinensis",Spotted_Dove
house_swift,"小白腰雨燕","House Swift","Apus nipalensis",House_Swift
greater_coucal,"褐翅鸦鹃","Greater Coucal","Centropus sinensis",Greater_Coucal
white_breasted_waterhen,"白胸苦恶鸟","White-breasted Waterhen","Amaurornis phoenicurus",White-breasted_Waterhen
common_moorhen,"黑水鸡","Common Moorhen","Gallinula chloropus",Common_Moorhen
common_coot,"白骨顶","Common Coot","Fulica atra",Common_Coot
black_crowned_night_heron,"夜鹭","Black-crowned Night-heron","Nycticorax nycticorax",Black-crowned_Night-heron
chinese_pond_heron,"池鹭","Chinese Pond Heron","Ardeola bacchus",Chinese_Pond_Heron
great_egret,"大白鹭","Great Egret","Ardea alba",Great_Egret
intermediate_egret,"中白鹭","Intermediate Egret","Ardea intermedia",Intermediate_Egret
little_egret,"白鹭","Little Egret","Egretta garzetta",Little_Egret
common_kingfisher,"普通翠鸟","Common Kingfisher","Alcedo atthis",Common_Kingfisher
white_throated_kingfisher,"白胸翡翠","White-throated Kingfisher","Halcyon smyrnensis",White-throated_Kingfisher
great_barbet,"大拟啄木鸟","Great Barbet","Psilopogon virens",Great_Barbet
red_billed_blue_magpie,"红嘴蓝鹊","Red-billed Blue Magpie","Urocissa erythroryncha",Red-billed_Blue_Magpie
large_billed_crow,"大嘴乌鸦","Large-billed Crow","Corvus macrorhynchos",Large-billed_Crow
japanese_tit,"大山雀","Japanese Tit","Parus minor",Japanese_Tit
plain_prinia,"纯色山鹪莺","Plain Prinia","Prinia inornata",Plain_Prinia
common_tailorbird,"长尾缝叶莺","Common Tailorbird","Orthotomus sutorius",Common_Tailorbird
red_whiskered_bulbul,"红耳鹎","Red-whiskered Bulbul","Pycnonotus jocosus",Red-whiskered_Bulbul
light_vented_bulbul,"白头鹎","Light-vented Bulbul","Pycnonotus sinensis",Light-vented_Bulbul
sooty_headed_bulbul,"白喉红臀鹎","Sooty-headed Bulbul","Pycnonotus aurigaster",Sooty-headed_Bulbul
yellow_browed_warbler,"黄眉柳莺","Yellow-browed Warbler","Phylloscopus inornatus",Yellow-browed_Warbler
pallass_leaf_warbler,"黄腰柳莺","Pallas's Leaf Warbler","Phylloscopus proregulus",Pallas's_Leaf_Warbler
dusky_warbler,"褐柳莺","Dusky Warbler","Phylloscopus fuscatus",Dusky_Warbler
swinhoes_white_eye,"暗绿绣眼鸟","Swinhoe's White-eye","Zosterops simplex",Swinhoe's_White-eye
crested_myna,"八哥","Crested Myna","Acridotheres cristatellus",Crested_Myna
black_collared_starling,"黑领椋鸟","Black-collared Starling","Gracupica nigricollis",Black-collared_Starling
chinese_blackbird,"乌鸫","Chinese Blackbird","Turdus mandarinus",Chinese_Blackbird
oriental_magpie_robin,"鹊鸲","Oriental Magpie-robin","Copsychus saularis",Oriental_Magpie-robin
asian_brown_flycatcher,"北灰鹟","Asian Brown Flycatcher","Muscicapa dauurica",Asian_Brown_Flycatcher
fork_tailed_sunbird,"叉尾太阳鸟","Fork-tailed Sunbird","Aethopyga christinae",Fork-tailed_Sunbird
white_rumped_munia,"白腰文鸟","White-rumped Munia","Lonchura striata",White-rumped_Munia
scaly_breasted_munia,"斑文鸟","Scaly-breasted Munia","Lonchura punctulata",Scaly-breasted_Munia
eurasian_tree_sparrow,"麻雀","Eurasian Tree Sparrow","Passer montanus",Eurasian_Tree_Sparrow
grey_wagtail,"灰鹡鸰","Grey Wagtail","Motacilla cinerea",Grey_Wagtail
white_wagtail,"白鹡鸰","White Wagtail","Motacilla alba",White_Wagtail
oriental_greenfinch,"金翅雀","Oriental Greenfinch","Chloris sinica",Oriental_Greenfinch
