地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
上海,所有时段,世纪公园,587,1656,42
上海,所有时段,吴淞炮台湾湿地森林公园,311,421,42
上海,所有时段,南汇东滩,296,975,85
上海,所有时段,金海湿地公园,197,284,43
上海,所有时段,中山公园,195,339,20
上海,所有时段,崇明东滩,141,214,113
上海,所有时段,南汇嘴观海公园,139,200,58
上海,所有时段,碧云绿地·云天湖公园,124,237,40
上海,所有时段,上海滨江森林公园,117,175,52
上海,所有时段,上海植物园,117,172,39
上海,所有时段,大宁公园,111,215,42
上海,所有时段,碧海金沙,77,108,75
上海,所有时段,吴淞炮台湾公园,73,80,44
上海,所有时段,南汇嘴魔术林,68,99,58
上海,所有时段,上海崇明东滩鸟类国家级自然保护区,59,68,80
上海,所有时段,滴水湖,55,71,43
上海,所有时段,徐家汇公园,54,149,15
上海,所有时段,世纪公园-7号门,54,85,38
上海,所有时段,共青森林公园,51,88,42
上海,所有时段,小桉路,49,84,62
上海,所有时段,炮台湾湿地,47,50,37
上海,所有时段,世纪公园世纪梅园(上海市浦东新区),46,76,34
上海,所有时段,闵行区春申假日风景畹町路99弄,45,95,22
上海,所有时段,后滩公园,44,83,32
上海,所有时段,崇明北湖,44,48,70
上海,所有时段,闵行体育公园,41,79,29
上海,所有时段,紫竹荒地,41,57,51
上海,所有时段,东滩北八滧湿地,41,45,79
上海,所有时段,绥德公园,36,69,29
上海,所有时段,星愿公园,33,37,30
上海,所有时段,奉贤小魔术林,32,97,34
上海,所有时段,鹦鹉洲生态湿地,32,51,54
上海,所有时段,上海植物园-3号门,31,72,38
上海,所有时段,渔人码头,31,58,49
上海,所有时段,三三公路与世纪塘路交叉口(浦东新区),31,41,55
上海,所有时段,新虹桥中心花园,30,64,21
上海,所有时段,碧海金沙(奉贤区海湾旅游区海鸥路39号),30,35,42
上海,所有时段,世博后滩湿地公园,29,53,30
上海,所有时段,梦清园,28,33,19
上海,所有时段,金汇港码头,28,31,23
上海,所有时段,上海辰山植物园,27,39,36
上海,所有时段,复旦大学江湾校区,26,45,33
上海,所有时段,上海动物园,26,37,27
上海,所有时段,鸟调6基本农田线,25,36,40
上海,所有时段,春申万科城假日风景南区,25,28,22
上海,所有时段,浦东金海湿地公园,24,24,26
上海,所有时段,上海交通大学(闵行校区),22,48,23
上海,所有时段,上海交通大学-植物园,22,47,24
上海,所有时段,东滩保护区,22,24,78
上海,所有时段,鸟调7魔术林线,21,42,81
上海,所有时段,上海植物园(徐汇区龙吴路1111号),21,27,28
上海,所有时段,南汇东日湿地,21,27,50
上海,所有时段,上海青西郊野公园,21,23,45
上海,所有时段,上海世博文化公园,20,30,28
上海,所有时段,嘉北郊野公园,20,29,36
上海,所有时段,顾村公园,20,25,38
上海,所有时段,松江洞泾百花港开放休闲林地,19,33,41
上海,所有时段,南汇魔术林,19,28,46
上海,所有时段,西西洋淀,18,62,50
上海,所有时段,世博文化公园,18,31,29
上海,所有时段,海坤路草坪,18,24,61
上海,所有时段,三三公路与世纪塘路交叉口南,17,21,74
上海,所有时段,世纪公园赏梅木栈道,17,20,24
上海,所有时段,小桉路农田,17,20,42
上海,所有时段,假期风景99弄(闵行区畹町路99弄),17,17,13
上海,所有时段,金海湿地,17,17,37
上海,所有时段,上海海洋大学临港校区,16,64,28
上海,所有时段,进木港,16,17,17
上海,所有时段,海思路基本农田,15,26,28
上海,所有时段,闵行文化公园,15,23,21
上海,所有时段,上海交通大学(闵行校区)蔷薇园,15,20,22
上海,所有时段,赤风港湿地中心,15,19,48
上海,所有时段,迪士尼星愿湖,15,15,27
上海,所有时段,鸟调8赤风港湿地中心北库塘,14,27,41
上海,所有时段,奉贤区碧海金沙(海涵路北150米),14,17,53
上海,所有时段,浦东新区南汇嘴观海公园(世纪塘路西),14,17,41
上海,所有时段,浦东新区南汇新城镇东日,14,16,53
上海,所有时段,浦东新区南汇嘴观海公园(世纪塘路北),14,15,50
上海,所有时段,世纪公园镜天湖,14,14,21
上海,所有时段,五宅村,13,21,30
上海,所有时段,鸟调1滩涂北线,13,18,33
上海,所有时段,上海海湾国家森林公园,13,16,39
上海,所有时段,鸟调2滩涂南线,13,15,38
上海,所有时段,闵行区紫竹半岛及兰香湖,12,19,34
上海,所有时段,堤顶路与东港大道交叉口,12,17,53
上海,所有时段,世纪公园-风荷桥,12,15,26
上海,所有时段,南汇嘴大堤,12,12,23
上海,所有时段,西沙明珠湖景区(崇明区三华公路333号),12,12,47
上海,所有时段,奉贤区小基本农田,11,21,30
上海,所有时段,鹦鹉洲生态湿地(上海市金山区),11,17,59
上海,所有时段,黄日港调蓄湖,11,16,34
上海,所有时段,上海闵行体育公园,11,12,27
上海,所有时段,世纪公园一尺花园,11,11,19
上海,所有时段,南汇世纪塘路魔术林,11,11,52
上海,所有时段,罗泾水源涵养林,10,22,60
上海,所有时段,白沙公园,10,20,20
上海,所有时段,华东师范大学（闵行校区）,10,17,18
上海,所有时段,上海南汇嘴大堤酒店(世纪塘路333号),10,13,20
上海,所有时段,世博公园,10,12,27
上海,所有时段,南汇新城镇世纪塘路西200米,10,12,63
上海,所有时段,崇明岛,10,11,63
上海,所有时段,广富林郊野公园,10,11,27
上海,所有时段,浦江郊野公园,10,11,28
上海,所有时段,上海南汇嘴大堤酒店,10,10,51
上海,所有时段,东滩湿地公园,10,10,40
上海,所有时段,上海科技大学(张江校区),9,87,35
上海,所有时段,康健园,9,48,18
上海,所有时段,华东理工大学,9,37,19
上海,所有时段,宝山区上海大学(宝山校区),9,31,32
上海,所有时段,鲁迅公园,9,24,14
上海,所有时段,鸟调10赤风港湿地中心芦苇地,9,21,35
上海,所有时段,南汇湿地,9,14,72
上海,所有时段,渔人码头(上海市奉贤区海鸥路),9,11,33
上海,所有时段,燎鱼村(上海市奉贤区),9,11,39
上海,所有时段,崇明东滩湿地,9,10,51
上海,所有时段,浦东新区世纪公园(云帆桥西),9,10,27
上海,所有时段,浦东新区世纪公园(风荷桥北),9,10,24
上海,所有时段,上海南汇大堤,9,9,49
上海,所有时段,共青国家森林公园,9,9,21
上海,所有时段,南汇嘴观海公园上海南汇嘴大堤酒店,9,9,37
上海,所有时段,春申万科郊野绿园,9,9,18
上海,所有时段,浦江第一湾公园,9,9,32
上海,所有时段,上海汽车博览公园,8,22,20
上海,所有时段,海湾镇沿岸,8,18,66
上海,所有时段,奉贤区绿地·香颂西南200米(海乐路西),8,17,19
上海,所有时段,三三公路与世纪塘路交叉口,8,13,51
上海,所有时段,鸟调3滴水湖北线,8,13,26
上海,所有时段,上海崇明东滩鸟类国家级自然保护区停车场,8,11,43
上海,所有时段,护鲟路,8,10,34
上海,所有时段,浦东新区同济大学海洋科学技术研究中心南(世纪塘路),8,10,40
上海,所有时段,长风公园,8,10,13
上海,所有时段,浦东南汇东滩湿地,8,9,36
