地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
云南,所有时段,中国科学院西双版纳热带植物园,201,413,100
云南,所有时段,昆明植物园,155,198,27
云南,所有时段,黑龙潭公园,140,175,32
云南,所有时段,野象谷热带雨林景区,98,110,57
云南,所有时段,中科院版纳植物园,68,111,91
云南,所有时段,金殿公园,55,66,24
云南,所有时段,西双版纳热带植物园,43,73,57
云南,所有时段,绿石林景区,38,39,36
云南,所有时段,江尾村,37,65,39
云南,所有时段,云南省版纳中科院热带植物园,35,53,53
云南,所有时段,洱海月湿地公园,34,38,41
云南,所有时段,云南腾冲来凤山,33,39,42
云南,所有时段,梁王山,31,36,41
云南,所有时段,普达措国家公园,30,30,28
云南,所有时段,西双版纳野象谷景区-高架栈道,29,31,46
云南,所有时段,石梯村,27,40,77
云南,所有时段,无为寺,27,38,23
云南,所有时段,龙得湖,27,29,37
云南,所有时段,滇池,27,28,38
云南,所有时段,盈江犀鸟谷,26,43,96
云南,所有时段,香额湖,26,29,37
云南,所有时段,高黎贡山百花岭,25,52,82
云南,所有时段,澜沧拉祜族自治县糯扎渡镇下勐矿,25,29,60
云南,所有时段,福保湿地,24,57,46
云南,所有时段,滇池福保湿地,24,40,36
云南,所有时段,西山区滇池草海湖滨湿地,24,25,26
云南,所有时段,和顺古镇,23,29,44
云南,所有时段,紫溪山,23,26,54
云南,所有时段,盘龙区黑龙潭公园(7204公路北),23,25,28
云南,所有时段,苍山国家地质公园,23,25,43
云南,所有时段,苍山玉带路,22,26,39
云南,所有时段,盘龙区黑龙潭公园(昆明植物园东北200米),21,24,19
云南,所有时段,纳帕海,21,23,15
云南,所有时段,西双版纳热带植物园吊桥,21,23,17
云南,所有时段,世博生态城,20,35,21
云南,所有时段,普洱景迈山古茶林景区,20,23,55
云南,所有时段,绿石林景区-观景台,20,23,24
云南,所有时段,盈江国家湿地公园,19,24,42
云南,所有时段,香格里拉高山植物园,19,24,35
云南,所有时段,勐腊县中国科学院西双版纳热带植物园(罗梭江大桥),19,22,74
云南,所有时段,那邦田,19,21,46
云南,所有时段,苍山洗马潭,19,19,25
云南,所有时段,关山水库,18,44,38
云南,所有时段,大观公园,18,23,30
云南,所有时段,草海隧道,18,20,33
云南,所有时段,楚雄紫溪山风景区,18,19,40
云南,所有时段,世博园,17,24,20
云南,所有时段,勐宋村,17,17,25
云南,所有时段,腾冲湿地-北海湿地,17,17,18
云南,所有时段,勐腊县中国科学院西双版纳热带植物园(蒲葵大道西),16,20,67
云南,所有时段,海洪湿地公园,16,19,22
云南,所有时段,金殿风景名胜区,16,17,23
云南,所有时段,勐腊县西双版纳热带雨林国家公园望天树景区,16,16,41
云南,所有时段,昆明世界园艺博览园东南,15,27,31
云南,所有时段,剑湖,15,20,50
云南,所有时段,来凤山国家森林公园,15,20,48
云南,所有时段,勐腊县荷风香远,15,17,30
