地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
兰州,所有时段,兰州秦王川国家湿地公园,24,25,26
兰州,所有时段,陈家河,16,20,35
兰州,所有时段,兰州大学榆中校区萃英山,13,18,27
兰州,所有时段,兰州大学榆中校区,12,21,27
兰州,所有时段,滩尖子湿地公园(兰州市城关区),10,10,21
兰州,所有时段,兰州黄河银滩湿地公园,9,14,17
兰州,所有时段,马坡乡,9,10,30
兰州,所有时段,秦王川国家湿地公园,8,12,32
兰州,所有时段,兰大榆中校区萃英山,7,11,20
兰州,所有时段,兰州大学(榆中校区)种质资源库,7,11,17
兰州,所有时段,兰州水车博览园,6,6,17
兰州,所有时段,兰州大学(城关校区),5,5,10
兰州,所有时段,兰州水车园,4,6,12
兰州,所有时段,兰州水墨丹霞旅游景区,4,4,5
兰州,所有时段,银滩湿地公园-兰州银滩公园,4,4,14
兰州,所有时段,兰州大学,3,6,21
兰州,所有时段,兰州大学(榆中校区)南区,3,6,15
兰州,所有时段,萃英山,3,4,8
兰州,所有时段,皋兰县秦王川国家湿地公园2期(经五路东150米),3,3,16
兰州,所有时段,萃英山山脚及草科试验田,2,3,13
兰州,所有时段,中山桥,2,2,8
兰州,所有时段,五泉山公园,2,2,6
兰州,所有时段,兰山公园,2,2,10
兰州,所有时段,兰州大学(兰州市城关区天水南路222号),2,2,13
兰州,所有时段,兰州大学(榆中校区),2,2,18
兰州,所有时段,兰州大学(榆中校区)和谐园,2,2,5
兰州,所有时段,兰州植物园,2,2,6
兰州,所有时段,兰州理工大学(彭家坪校区),2,2,2
兰州,所有时段,兴隆山,2,2,26
兰州,所有时段,水车博览园,2,2,4
兰州,所有时段,甘肃榆中兰州大学榆中校区,2,2,10
兰州,所有时段,白塔山公园,2,2,6
兰州,所有时段,白塔山及黄河地段,2,2,16
兰州,所有时段,兰州大学榆中校区闻欣堂,1,4,6
兰州,所有时段,兰州黄河银滩湿地公园(兰州市安宁区),1,4,9
兰州,所有时段,五滩庄(兰州市西固区),1,3,19
兰州,所有时段,兰州大学(榆中校区)植物园,1,3,9
兰州,所有时段,兰州大学(榆中校区)体育馆,1,2,12
兰州,所有时段,夏官营镇,1,2,10
