地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
北京,所有时段,天坛公园,802,1388,41
北京,所有时段,玉渊潭公园,693,1166,56
北京,所有时段,乐活中堤,576,1338,64
北京,所有时段,颐和园,498,783,53
北京,所有时段,国家植物园北园,472,826,48
北京,所有时段,百望山森林公园,414,911,60
北京,所有时段,奥森南园,407,651,48
北京,所有时段,昌平新城滨河森林公园巩华城半岛,381,747,58
北京,所有时段,奥森北园,371,772,54
北京,所有时段,北京玉渊潭公园,349,876,50
北京,所有时段,北京天坛公园,332,706,37
北京,所有时段,北海公园,294,343,32
北京,所有时段,沙河水库,288,405,68
北京,所有时段,北京沙河水库,275,450,100
北京,所有时段,北京南海子公园,260,376,61
北京,所有时段,奥林匹克森林公园（奥森）南园,255,295,35
北京,所有时段,奥林匹克森林公园北园,202,497,51
北京,所有时段,巩华城半岛（北沙河南岸）,199,311,58
北京,所有时段,北京奥林匹克森林公园南园,190,291,42
北京,所有时段,北京圆明园遗址公园,174,402,57
北京,所有时段,密云区太师屯镇小漕村,159,213,51
北京,所有时段,小漕村,158,180,46
北京,所有时段,圆明园遗址公园,155,193,55
北京,所有时段,沙河水库-北岸,146,177,49
北京,所有时段,东灵山,146,172,50
北京,所有时段,野鸭湖湿地公园,143,168,83
北京,所有时段,元大都遗址公园,139,255,21
北京,所有时段,密云水库调节池,137,147,45
北京,所有时段,北京市密云区朱家湾村清水河,134,175,56
北京,所有时段,滨河森林公园-沙河水库,134,173,58
北京,所有时段,妙峰山森林公园玫瑰谷,132,180,43
北京,所有时段,国家植物园北园（原北京植物园）,132,164,44
北京,所有时段,十渡,111,121,36
北京,所有时段,密云水库,102,115,91
北京,所有时段,柳荫公园,100,148,35
北京,所有时段,陶然亭公园,94,162,28
北京,所有时段,奥林匹克森林公园南园,92,137,43
北京,所有时段,颐和园—团城湖,92,112,35
北京,所有时段,龙潭西湖公园,91,164,41
北京,所有时段,朝阳公园,89,114,44
北京,所有时段,宋庄蓄滞洪区-二期,88,161,56
北京,所有时段,青白口桥,87,99,47
北京,所有时段,官庄公园,86,192,32
北京,所有时段,北京密云水库,81,103,79
北京,所有时段,北京大学,80,267,54
北京,所有时段,密云区太师屯镇泉河,78,89,48
北京,所有时段,官厅水库（野鸭湖-康西草原-马场沿线）,76,88,70
北京,所有时段,太阳宫公园,75,133,27
北京,所有时段,常乐村(北京市海淀区),75,111,37
北京,所有时段,琉璃河湿地公园,73,89,39
北京,所有时段,宋庄蓄滞洪区二期,72,78,38
北京,所有时段,紫竹院公园,68,111,32
