地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
广州,所有时段,浔峰山生态公园,231,489,33
广州,所有时段,珠江公园,205,315,22
广州,所有时段,朱村,186,293,54
广州,所有时段,广州起义烈士陵园,186,253,19
广州,所有时段,流花湖公园,147,212,33
广州,所有时段,广州雕塑公园,110,119,20
广州,所有时段,华南师范大学(石牌校区),107,117,19
广州,所有时段,白云山风景名胜区,92,166,44
广州,所有时段,南沙十九涌,87,130,72
广州,所有时段,中山大学(广州校区南校园),65,131,25
广州,所有时段,火炉山森林公园,50,58,33
广州,所有时段,洪奇门,41,56,54
广州,所有时段,中国科学院华南植物园,39,70,51
广州,所有时段,越秀公园,39,60,25
广州,所有时段,广州市白云区龙虎岗,37,65,26
广州,所有时段,麓湖公园(广州市越秀区),37,39,24
广州,所有时段,流花湖公园(广州市越秀区东风西路163),36,53,26
广州,所有时段,南沙湿地,35,39,53
广州,所有时段,天河公园,31,34,24
广州,所有时段,花城广场,29,34,9
广州,所有时段,白石山,29,31,29
广州,所有时段,萝岗香雪公园,28,30,16
广州,所有时段,盈翠公园,26,32,24
广州,所有时段,黄山鲁森林公园,25,44,34
广州,所有时段,广州起义烈士陵园(越秀区中山二路92号),25,32,21
广州,所有时段,华南师范大学(石牌校区)荷花湖,24,25,16
广州,所有时段,广州增城丝苗米稻田公园,23,37,38
广州,所有时段,麓湖公园,23,29,28
广州,所有时段,海珠湖,23,25,23
广州,所有时段,龙虎岗,22,26,19
广州,所有时段,前哨队(广州市南沙区),21,29,40
广州,所有时段,起义烈士陵园,21,26,17
广州,所有时段,广州珠江公园,21,24,18
广州,所有时段,晓港公园,21,22,15
广州,所有时段,东山湖公园,20,23,24
广州,所有时段,火炉山森林公园-东北门,17,26,23
广州,所有时段,华南师范大学(广州校区石牌校园)文化广场,17,17,15
广州,所有时段,前哨队,16,21,37
广州,所有时段,十八涌(广州市南沙区),16,19,45
广州,所有时段,增城太子坑森林公园,16,19,47
广州,所有时段,海珠湿地公园,16,16,26
广州,所有时段,华南农业大学(天河区五山路483号),14,22,24
广州,所有时段,海珠湖公园,14,15,27
广州,所有时段,雕塑公园,14,14,18
广州,所有时段,珠江公园(广州市天河区金穗路900),13,18,25
