地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
桂林,所有时段,广西桂林国家森林公园,17,30,32
桂林,所有时段,桂林森林公园,16,47,30
桂林,所有时段,猫儿山,11,12,16
桂林,所有时段,会仙湿地,9,9,30
桂林,所有时段,猫儿山国家级自然保护区,9,9,32
桂林,所有时段,车头村,8,12,25
桂林,所有时段,灵川县灵田镇花江,6,8,43
桂林,所有时段,廖家村,5,5,23
桂林,所有时段,田心里,4,7,24
桂林,所有时段,森林公园,4,4,27
桂林,所有时段,象鼻山景区,4,4,10
桂林,所有时段,尧山,3,6,14
桂林,所有时段,雁山区柘木镇卫家渡村,3,6,23
桂林,所有时段,西山韶乐一号观景台,3,3,13
桂林,所有时段,阳朔漓江景区,3,3,9
桂林,所有时段,龙脊梯田风景名胜区,2,4,5
桂林,所有时段,凤穴村,2,3,20
桂林,所有时段,临桂镇,2,2,20
桂林,所有时段,兴坪古镇,2,2,9
桂林,所有时段,南溪山公园,2,2,6
桂林,所有时段,卫家渡村(桂林市雁山区),2,2,30
桂林,所有时段,广西师范大学雁山校区,2,2,12
桂林,所有时段,水厄底码头,2,2,14
桂林,所有时段,漓江三星游船(磨盘山码头),2,2,8
桂林,所有时段,猫儿山景区,2,2,26
桂林,所有时段,相公山,2,2,3
桂林,所有时段,西山公园(桂林市秀峰区西山路2号),2,2,9
桂林,所有时段,象山景区,2,2,12
桂林,所有时段,青狮潭水库风景区,2,2,8
桂林,所有时段,临桂镇廖家村,1,6,12
桂林,所有时段,小路,1,5,1
桂林,所有时段,尧山观测点,1,4,8
桂林,所有时段,胜地酒店(阳朔十里画廊遇龙河店),1,4,1
桂林,所有时段,临桂镇车头,1,3,22
桂林,所有时段,九点(桂林市全州县),1,3,14
桂林,所有时段,灌阳驾校(灌阳县清友驾驶员培训有限公司),1,3,4
桂林,所有时段,灵川镇老圩,1,3,12
桂林,所有时段,乌桕滩,1,2,12
桂林,所有时段,灵川镇南昌村,1,2,14
桂林,所有时段,秀峰区桂林观石堂鸡血玉博物馆西100米(芦笛路南),1,2,4
桂林,所有时段,老圩,1,2,22
桂林,所有时段,龙脊梯田风景名胜区-平安寨梯田,1,2,6
桂林,所有时段,七星区理工大学漓江郡府丹桂府西(济民路南),1,1,6
桂林,所有时段,三江乡,1,1,3
桂林,所有时段,上村,1,1,12
桂林,所有时段,世外陶园度假餐厅,1,1,9
桂林,所有时段,临桂镇车头村,1,1,4
桂林,所有时段,临江楼,1,1,4
桂林,所有时段,九落洞,1,1,12
桂林,所有时段,兴安县漠川中心小学(政兴路南),1,1,11
桂林,所有时段,兴安县漠川乡座山村,1,1,6
桂林,所有时段,兴安猫儿山山里人家附近,1,1,20
桂林,所有时段,十里画廊来此遇龙(遇龙河夜游)东,1,1,6
桂林,所有时段,卫家渡,1,1,7
桂林,所有时段,叠彩区大河乡上南洲,1,1,7
桂林,所有时段,叠彩区宝积山(翊武路北),1,1,4
桂林,所有时段,塘家尾村,1,1,12
桂林,所有时段,大沙洲休闲农庄,1,1,4
桂林,所有时段,官田村,1,1,40
桂林,所有时段,山下寨村,1,1,3
桂林,所有时段,山脚村,1,1,7
桂林,所有时段,广西壮族自治区桂林市平乐县青龙乡郡塘村,1,1,3
桂林,所有时段,广西师范大学,1,1,7
桂林,所有时段,广西师范大学(雁山校区),1,1,8
桂林,所有时段,广西桂林两江机场,1,1,1
桂林,所有时段,广西桂林会仙喀斯特国家湿地公园,1,1,28
桂林,所有时段,广西阳朔遇龙河,1,1,10
桂林,所有时段,庙坪,1,1,9
桂林,所有时段,彰泰城,1,1,1
桂林,所有时段,彰泰城南(平山北路),1,1,1
桂林,所有时段,恭城瑶族自治县鲜鲜家庭农场东南150米,1,1,2
桂林,所有时段,无事山院,1,1,6
桂林,所有时段,柘木圩,1,1,9
桂林,所有时段,柘木镇白鹭滩,1,1,13
桂林,所有时段,桂林两江四湖景区叠彩山,1,1,1
桂林,所有时段,桂林天湖生态旅游度假区,1,1,8
