地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
深圳,所有时段,深圳湾公园,304,461,42
深圳,所有时段,光明小镇欢乐田园,272,663,70
深圳,所有时段,福田红树林生态公园,205,420,47
深圳,所有时段,铁仔山公园,202,440,40
深圳,所有时段,深圳人才公园,200,274,35
深圳,所有时段,园山风景区,124,136,26
深圳,所有时段,红树林海滨生态公园,113,201,35
深圳,所有时段,深圳市仙湖植物园,90,124,32
深圳,所有时段,龙岐湾,74,106,34
深圳,所有时段,广东深圳华侨城国家湿地公园,73,119,44
深圳,所有时段,华大万物农业基地,64,95,46
深圳,所有时段,福田红树林自然保护区,62,86,44
深圳,所有时段,凤凰山森林公园,57,93,45
深圳,所有时段,笔架山公园,52,81,22
深圳,所有时段,洪湖公园,49,66,29
深圳,所有时段,九围湿地公园,41,50,32
深圳,所有时段,立新湖公园,41,50,30
深圳,所有时段,深圳湾公园日出剧场,39,47,30
深圳,所有时段,深圳湾出水口,35,50,31
深圳,所有时段,鹿嘴山庄(大鹏新区南澳杨梅坑风景区内),31,33,16
深圳,所有时段,梧桐山,29,37,27
深圳,所有时段,深圳湾公园-小沙山观景平台,24,26,25
深圳,所有时段,莲花山公园,23,35,12
深圳,所有时段,罗田森林公园,22,26,25
深圳,所有时段,广东内伶仃福田国家级自然保护区,21,27,34
深圳,所有时段,中山公园,21,25,15
深圳,所有时段,恩上湿地公园,18,19,22
深圳,所有时段,深圳湾公园小沙山,18,18,22
深圳,所有时段,鹿嘴山庄,18,18,9
深圳,所有时段,荔枝公园,17,24,22
深圳,所有时段,深圳湾公园弯月山谷,15,17,30
深圳,所有时段,石岩湿地公园,12,16,37
深圳,所有时段,大沙河生态长廊,11,20,32
深圳,所有时段,深圳湾公园流花山,10,10,15
深圳,所有时段,深圳中心公园,9,15,18
深圳,所有时段,中山大学深圳校区,8,25,47
深圳,所有时段,南方科技大学,8,16,22
深圳,所有时段,光明欢乐田园,8,12,40
深圳,所有时段,深圳湾大沙河口,8,10,23
深圳,所有时段,深圳湾公园C区海风运动公园,8,8,9
深圳,所有时段,坝光银叶树湿地园,7,10,32
深圳,所有时段,福田红树林生态公园南区,7,10,28
深圳,所有时段,深圳国际园林花卉博览园,7,7,25
深圳,所有时段,深圳湾公园北湾鹭港,7,7,22
深圳,所有时段,东山码头,6,6,7
深圳,所有时段,光明区新湖街道流浮井,6,6,40
深圳,所有时段,宝安区九围湿地公园,6,6,27
深圳,所有时段,小沙山,6,6,12
深圳,所有时段,广东深圳深圳湾公园,6,6,18
深圳,所有时段,深云谷景区,6,6,15
深圳,所有时段,中山大学(深圳校区),5,16,35
深圳,所有时段,深圳人民公园,5,13,17
深圳,所有时段,塘朗山郊野公园,5,11,15
深圳,所有时段,梅林山公园,5,8,13
深圳,所有时段,阳台山森林公园,5,7,18
深圳,所有时段,香蜜公园,5,7,18
深圳,所有时段,宝安区西乡铁仔山公园(铁仔山公园路南),5,6,17
深圳,所有时段,洪圣宫庙,5,6,30
深圳,所有时段,深圳湾,5,6,23
深圳,所有时段,深圳湾公园小沙山-观景平台,5,6,20
深圳,所有时段,东湖公园,5,5,19
深圳,所有时段,广东省深圳市龙岗区福田一巷,5,5,3
深圳,所有时段,深圳大学粤海校区,5,5,16
深圳,所有时段,深圳荔枝公园,5,5,18
深圳,所有时段,红树林海滨生态公园(深圳湾绿道),5,5,21
深圳,所有时段,西湾红树林湿地公园,4,7,14
深圳,所有时段,月亮湾公园,4,5,12
深圳,所有时段,农业基因组学国家重点实验室华大试验基地,4,4,49
深圳,所有时段,广东省深圳市福田区上步北路2031号,4,4,11
深圳,所有时段,深圳湾沿岸,4,4,19
深圳,所有时段,银湖山郊野公园,4,4,7
深圳,所有时段,广东深圳华侨城国家湿地公园(南山区),3,23,37
深圳,所有时段,福田红树林自然保护区(深圳市福田区),3,22,53
深圳,所有时段,中国农业科学院深圳综合试验基地,3,6,17
深圳,所有时段,前海石公园(南山区前湾一路西150米),3,5,13
深圳,所有时段,横塘水生态海绵综合示范园,3,5,10
深圳,所有时段,七星湾,3,4,14
深圳,所有时段,梅林水库,3,4,10
深圳,所有时段,深圳职业技术大学(留仙洞校区),3,4,10
深圳,所有时段,光明农场大观园,3,3,16
深圳,所有时段,南山区小沙山(深圳湾公园),3,3,17
深圳,所有时段,坪山河湿地公园,3,3,18
深圳,所有时段,大山陂水库,3,3,20
深圳,所有时段,大沙河生态长廊绿道,3,3,11
深圳,所有时段,天鹅堡,3,3,8
深圳,所有时段,妙觉寺,3,3,11
深圳,所有时段,平湖生态园,3,3,10
深圳,所有时段,杨梅坑,3,3,11
深圳,所有时段,海滨生态公园南,3,3,20
深圳,所有时段,深圳湾公园2,3,3,22
深圳,所有时段,深圳湾公园小沙山沙河入海口,3,3,18
深圳,所有时段,深圳湾公园海韵公园,3,3,48
深圳,所有时段,深圳湾公园运动公园,3,3,13
深圳,所有时段,石岩湖公园,3,3,47
深圳,所有时段,碧海湾公园,3,3,8
深圳,所有时段,粤海体育休闲公园-二期,3,3,6
深圳,所有时段,西湾红树林公园,3,3,6
深圳,所有时段,金龟村,3,3,17
深圳,所有时段,铁仔山公园-云阁碧空观景点,3,3,21
深圳,所有时段,铁岗水库,3,3,20
深圳,所有时段,马峦山郊野公园,3,3,11
深圳,所有时段,龙岗区华大基因菜场17栋(鹏飞路北),3,3,13
深圳,所有时段,深圳市福田区福田红树林生态公园,2,12,20
深圳,所有时段,深圳市围岭公园,2,7,13
深圳,所有时段,中山大学深圳校区二期,2,5,36
深圳,所有时段,戍堡路湿地,2,5,8
深圳,所有时段,光明区明湖城市公园(光明大道北),2,4,18
深圳,所有时段,塘坑水库,2,4,7
深圳,所有时段,深圳市西乡中学(高中部),2,4,7
深圳,所有时段,深圳站,2,4,7
深圳,所有时段,炳坑水库,2,4,18
深圳,所有时段,荔枝公园(深圳市福田区),2,4,22
深圳,所有时段,光明区新湖街道新陂头,2,3,23
深圳,所有时段,前海桂湾公园湿地,2,3,9
深圳,所有时段,潮汐湿地,2,3,18
深圳,所有时段,燕晗山,2,3,10
深圳,所有时段,环西丽湖碧道,2,3,15
深圳,所有时段,皇岗公园,2,3,8
深圳,所有时段,东涌红树林湿地园,2,2,17
深圳,所有时段,九祥岭湿地公园,2,2,6
深圳,所有时段,光明农场大观园(光灿路北),2,2,19
深圳,所有时段,内伶仃岛,2,2,24
深圳,所有时段,华侨城光明欢乐田园-百荷园,2,2,7
深圳,所有时段,华大大鹏农科示范基地,2,2,21
深圳,所有时段,南山区广东深圳华侨城国家湿地公园(白石路北),2,2,16
深圳,所有时段,南澳双拥码头,2,2,9
深圳,所有时段,四海公园,2,2,6
深圳,所有时段,坪山围,2,2,20
深圳,所有时段,大沙河公园,2,2,5
深圳,所有时段,大沙河西丽段,2,2,21
深圳,所有时段,大运会志愿者纪念林,2,2,22
深圳,所有时段,宝安公园,2,2,5
深圳,所有时段,小南山公园(深圳市南山区华英路),2,2,15
深圳,所有时段,小梅沙生态公园,2,2,9
深圳,所有时段,小沙山东南(滨海大道南),2,2,12
深圳,所有时段,广东内伶仃岛-福田国家级自然保护区,2,2,19
深圳,所有时段,广东省深圳市深圳湾公园,2,2,14
深圳,所有时段,梅沙尖,2,2,6
深圳,所有时段,流花公园,2,2,11
深圳,所有时段,深圳大鹏金沙湾沙滩,2,2,9
深圳,所有时段,深圳市三洲田森林公园,2,2,19
深圳,所有时段,深圳市大鹏新区龙岐湾海悦营地,2,2,15
深圳,所有时段,深圳市梧桐山风景名胜区,2,2,14
深圳,所有时段,深圳市红岭中学高中部,2,2,4
深圳,所有时段,深圳技术大学,2,2,6
深圳,所有时段,深圳湾公园C5海风运动广场,2,2,2
深圳,所有时段,深圳湾公园C区,2,2,15
深圳,所有时段,深圳湾口岸(深圳市南山区望海路附近),2,2,22
深圳,所有时段,深圳湾小沙山,2,2,11
深圳,所有时段,深圳湾深圳河口,2,2,10
深圳,所有时段,深圳湾火炬塔广场(深圳市南山区沙河西路),2,2,12
深圳,所有时段,深圳湾观鸟点B,2,2,14
深圳,所有时段,福田保税区,2,2,6
深圳,所有时段,福田区滨河上步立交南(滨河大道辅道南),2,2,21
深圳,所有时段,福田红树林生态公园(广播电台路南),2,2,13
深圳,所有时段,秤头角,2,2,6
深圳,所有时段,立新水库,2,2,20
深圳,所有时段,红排角,2,2,6
深圳,所有时段,红花山公园,2,2,16
深圳,所有时段,西丽生态公园,2,2,7
深圳,所有时段,随园食府,2,2,23
