地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
芜湖,所有时段,赭山公园,8,11,22
芜湖,所有时段,神山公园,4,6,27
芜湖,所有时段,安徽师范大学(花津校区),3,11,14
芜湖,所有时段,外龙窝湖湿地,3,4,43
芜湖,所有时段,十里江湾公园,2,5,26
芜湖,所有时段,龙窝湖,2,5,22
芜湖,所有时段,天门山湿地,2,2,24
芜湖,所有时段,湾沚区六郎镇白果,2,2,9
芜湖,所有时段,霭里景区,2,2,46
芜湖,所有时段,三里镇,1,4,22
芜湖,所有时段,周村小区,1,3,6
芜湖,所有时段,华强城·藏湖颐景湾畔,1,2,19
芜湖,所有时段,南陵县三里镇寥山头,1,2,6
芜湖,所有时段,天门山景区,1,2,1
芜湖,所有时段,孙村,1,2,11
芜湖,所有时段,朱家桥尾水净化生态公园,1,2,21
芜湖,所有时段,清水江堤,1,2,11
芜湖,所有时段,三湖一坝生态湿地公园,1,1,18
芜湖,所有时段,南辛汽渡,1,1,23
芜湖,所有时段,四褐山,1,1,9
芜湖,所有时段,固堤村,1,1,33
芜湖,所有时段,外绍,1,1,17
芜湖,所有时段,大龙窝,1,1,27
芜湖,所有时段,奚滩村,1,1,9
芜湖,所有时段,安徽师范大学附属萃文中学(中央城校区),1,1,5
芜湖,所有时段,安徽省芜湖市弋江区火龙街道,1,1,24
芜湖,所有时段,弋江区芦花荡湿地公园(文昌西路南),1,1,21
芜湖,所有时段,无为市刘渡镇西河,1,1,26
芜湖,所有时段,无为市刘渡镇郑家湾,1,1,13
芜湖,所有时段,春谷公园,1,1,7
芜湖,所有时段,水闸村,1,1,3
芜湖,所有时段,湾沚区花桥镇五四村中垾,1,1,11
芜湖,所有时段,湾沚区西河古镇(X072东),1,1,29
芜湖,所有时段,神仙台陵园,1,1,2
芜湖,所有时段,芜湖市南陵县奎湖湿地公园,1,1,21
芜湖,所有时段,芜湖市南陵县奎湖湿地公园附近,1,1,24
芜湖,所有时段,芜湖站,1,1,5
芜湖,所有时段,芜湖花桥鳄鱼湖湿地,1,1,31
芜湖,所有时段,芜湖雕塑公园,1,1,15
芜湖,所有时段,芦滩村,1,1,35
芜湖,所有时段,莲花湖公园,1,1,35
芜湖,所有时段,西龙窝湖,1,1,27
芜湖,所有时段,镜湖区芜湖荟萃中学(张家山支路西),1,1,9
芜湖,所有时段,陆渡村,1,1,1
芜湖,所有时段,霭里景区游客接待中心,1,1,4
芜湖,所有时段,鱼棚沟,1,1,24
芜湖,所有时段,鸠江区官陡街道办事处,1,1,1
芜湖,夏季,赭山公园,2,2,11
芜湖,夏季,四褐山,1,1,9
芜湖,夏季,外绍,1,1,17
芜湖,夏季,天门山景区,1,1,1
芜湖,夏季,安徽省芜湖市弋江区火龙街道,1,1,24
芜湖,夏季,无为市刘渡镇西河,1,1,26
芜湖,夏季,无为市刘渡镇郑家湾,1,1,13
芜湖,夏季,朱家桥尾水净化生态公园,1,1,21
芜湖,夏季,神仙台陵园,1,1,2
芜湖,夏季,神山公园,1,1,16
芜湖,秋季,赭山公园,5,7,11
芜湖,秋季,神山公园,3,4,27
芜湖,秋季,安徽师范大学(花津校区),2,10,9
芜湖,秋季,龙窝湖,2,5,22
芜湖,秋季,十里江湾公园,2,4,22
芜湖,秋季,外龙窝湖湿地,2,2,25
芜湖,秋季,湾沚区六郎镇白果,2,2,9
芜湖,秋季,霭里景区,2,2,46
芜湖,秋季,三里镇,1,4,22
芜湖,秋季,周村小区,1,3,6
芜湖,秋季,清水江堤,1,2,11
芜湖,秋季,华强城·藏湖颐景湾畔,1,1,13
芜湖,秋季,南辛汽渡,1,1,23
芜湖,秋季,南陵县三里镇寥山头,1,1,6
芜湖,秋季,固堤村,1,1,33
芜湖,秋季,大龙窝,1,1,27
芜湖,秋季,天门山景区,1,1,1
芜湖,秋季,奚滩村,1,1,9
芜湖,秋季,弋江区芦花荡湿地公园(文昌西路南),1,1,21
芜湖,秋季,朱家桥尾水净化生态公园,1,1,21
芜湖,秋季,水闸村,1,1,3
芜湖,秋季,湾沚区花桥镇五四村中垾,1,1,11
芜湖,秋季,湾沚区西河古镇(X072东),1,1,29
芜湖,秋季,芜湖站,1,1,5
芜湖,秋季,莲花湖公园,1,1,35
芜湖,秋季,西龙窝湖,1,1,27
芜湖,秋季,镜湖区芜湖荟萃中学(张家山支路西),1,1,9
芜湖,秋季,陆渡村,1,1,1
芜湖,秋季,霭里景区游客接待中心,1,1,4
芜湖,秋季,鱼棚沟,1,1,24
芜湖,秋季,鸠江区官陡街道办事处,1,1,1
芜湖,冬季,外龙窝湖湿地,2,2,43
芜湖,冬季,天门山湿地,2,2,24
芜湖,冬季,赭山公园,2,2,22
芜湖,冬季,孙村,1,2,11
芜湖,冬季,三湖一坝生态湿地公园,1,1,18
芜湖,冬季,十里江湾公园,1,1,26
芜湖,冬季,华强城·藏湖颐景湾畔,1,1,19
芜湖,冬季,南陵县三里镇寥山头,1,1,1
芜湖,冬季,安徽师范大学(花津校区),1,1,14
芜湖,冬季,安徽师范大学附属萃文中学(中央城校区),1,1,5
芜湖,冬季,春谷公园,1,1,7
芜湖,冬季,神山公园,1,1,27
芜湖,冬季,芜湖市南陵县奎湖湿地公园,1,1,21
芜湖,冬季,芜湖市南陵县奎湖湿地公园附近,1,1,24
芜湖,冬季,芜湖花桥鳄鱼湖湿地,1,1,31
芜湖,冬季,芜湖雕塑公园,1,1,15
芜湖,冬季,芦滩村,1,1,35
芜湖,8月,赭山公园,2,2,11
芜湖,8月,四褐山,1,1,9
芜湖,8月,外绍,1,1,17
芜湖,8月,天门山景区,1,1,1
芜湖,8月,安徽省芜湖市弋江区火龙街道,1,1,24
芜湖,8月,无为市刘渡镇西河,1,1,26
芜湖,8月,无为市刘渡镇郑家湾,1,1,13
芜湖,8月,朱家桥尾水净化生态公园,1,1,21
芜湖,8月,神仙台陵园,1,1,2
芜湖,8月,神山公园,1,1,16
芜湖,9月,赭山公园,2,2,11
芜湖,9月,清水江堤,1,2,11
芜湖,9月,天门山景区,1,1,1
芜湖,9月,龙窝湖,1,1,11
芜湖,10月,赭山公园,3,3,10
芜湖,10月,安徽师范大学(花津校区),2,4,7
芜湖,10月,神山公园,2,3,27
芜湖,10月,湾沚区六郎镇白果,2,2,9
芜湖,10月,周村小区,1,3,6
芜湖,10月,十里江湾公园,1,2,15
芜湖,10月,奚滩村,1,1,9
芜湖,10月,湾沚区花桥镇五四村中垾,1,1,11
芜湖,10月,芜湖站,1,1,5
芜湖,10月,镜湖区芜湖荟萃中学(张家山支路西),1,1,9
芜湖,10月,陆渡村,1,1,1
芜湖,11月,龙窝湖,2,4,22
芜湖,11月,十里江湾公园,2,2,22
芜湖,11月,外龙窝湖湿地,2,2,25
芜湖,11月,赭山公园,2,2,11
芜湖,11月,霭里景区,2,2,46
芜湖,11月,安徽师范大学(花津校区),1,6,9
芜湖,11月,三里镇,1,4,22
芜湖,11月,华强城·藏湖颐景湾畔,1,1,13
芜湖,11月,南辛汽渡,1,1,23
芜湖,11月,南陵县三里镇寥山头,1,1,6
芜湖,11月,固堤村,1,1,33
芜湖,11月,大龙窝,1,1,27
芜湖,11月,弋江区芦花荡湿地公园(文昌西路南),1,1,21
芜湖,11月,朱家桥尾水净化生态公园,1,1,21
芜湖,11月,水闸村,1,1,3
芜湖,11月,湾沚区西河古镇(X072东),1,1,29
芜湖,11月,神山公园,1,1,1
芜湖,11月,莲花湖公园,1,1,35
芜湖,11月,西龙窝湖,1,1,27
芜湖,11月,霭里景区游客接待中心,1,1,4
芜湖,11月,鱼棚沟,1,1,24
芜湖,11月,鸠江区官陡街道办事处,1,1,1
芜湖,12月,外龙窝湖湿地,2,2,43
芜湖,12月,天门山湿地,2,2,24
芜湖,12月,赭山公园,2,2,22
芜湖,12月,孙村,1,2,11
芜湖,12月,三湖一坝生态湿地公园,1,1,18
芜湖,12月,十里江湾公园,1,1,26
芜湖,12月,华强城·藏湖颐景湾畔,1,1,19
芜湖,12月,南陵县三里镇寥山头,1,1,1
芜湖,12月,安徽师范大学(花津校区),1,1,14
芜湖,12月,安徽师范大学附属萃文中学(中央城校区),1,1,5
芜湖,12月,春谷公园,1,1,7
芜湖,12月,神山公园,1,1,27
