地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
西安,所有时段,樊川公园,121,222,50
西安,所有时段,丰庆公园,115,174,25
西安,所有时段,涝渭湿地公园,84,179,55
西安,所有时段,兴庆宫公园,59,86,24
西安,所有时段,浐灞国家湿地公园,42,55,47
西安,所有时段,圭峰寺,41,63,43
西安,所有时段,西安建筑科技大学(雁塔校区)若祁湖,39,61,9
西安,所有时段,大明宫国家遗址公园,32,44,23
西安,所有时段,西安世博园,32,39,26
西安,所有时段,杨凌渭河湿地生态公园,31,43,75
西安,所有时段,西安建筑科技大学(雁塔校区)西阶庭院,31,35,8
西安,所有时段,昆明池·七夕公园,27,33,38
西安,所有时段,西安植物园,25,30,22
西安,所有时段,西安建筑科技大学(雁塔校区),24,52,7
西安,所有时段,西安建筑科技大学(雁塔校区)工科大楼柿子林,24,31,8
西安,所有时段,西安建筑科技大学(雁塔校区)逸夫楼花园,23,29,6
西安,所有时段,秦始皇兵马俑博物馆,23,23,14
西安,所有时段,西安建筑科技大学池塘凉亭,22,45,10
西安,所有时段,长安区樊川公园,22,32,34
西安,所有时段,曲江池遗址公园,22,25,22
西安,所有时段,西安建筑科技大学(雁塔校区)柿子林,22,25,5
西安,所有时段,西安建筑科技大学(雁塔校区)工科楼柿子林,21,27,8
西安,所有时段,西安浐灞桃花潭公园,20,27,62
西安,所有时段,西安建筑科技大学(雁塔校区)西阶教室,20,20,5
西安,所有时段,西安建筑科技大学校史馆,17,28,7
西安,所有时段,西安建筑科技大学(雁塔校区)工科大楼,16,28,9
西安,所有时段,西安建筑科技大学(雁塔校区)校史馆花园,16,26,7
西安,所有时段,兴庆公园,15,23,27
西安,所有时段,圭峰寺-高冠峪,15,19,43
西安,所有时段,秦岭国家植物园,15,17,29
西安,所有时段,长安区大兆街道友联村,15,16,38
西安,所有时段,西安建筑科技大学(雁塔校区)图书馆前绿地,15,15,4
西安,所有时段,灞河西岸滨河公园(灞柳西路4号附近),14,14,27
西安,所有时段,西安新植物园,13,16,21
西安,所有时段,陕西师范大学(雁塔校区),12,14,12
西安,所有时段,西安建筑科技大学(雁塔校区)西阶,12,12,4
西安,所有时段,长安区樊川公园(潏河路南200米),12,12,45
西安,所有时段,长安区昆明池·七夕公园,11,13,36
西安,所有时段,浐灞湿地公园,11,11,26
西安,所有时段,西安建筑科技大学图书馆花园,11,11,2
西安,所有时段,圭峰山,10,14,34
西安,所有时段,西安钟楼,10,11,6
西安,所有时段,西安浐灞国家湿地公园,10,10,45
西安,所有时段,西安建筑科技大学(雁塔校区)校史馆,9,12,6
西安,所有时段,西安建筑科技大学若祁湖,9,12,8
西安,所有时段,西安建筑科技大学,9,11,12
西安,所有时段,西安建筑科技大学(雁塔校区)主楼前若祁湖,9,9,7
西安,所有时段,西安交通大学兴庆校区,8,54,21
西安,所有时段,雁南公园,8,17,33
西安,所有时段,高冠河,8,15,37
西安,所有时段,陕西师范大学(长安校区),8,13,20
西安,所有时段,西北工业大学长安校区,8,12,18
西安,所有时段,西安博物院,8,11,14
西安,所有时段,未央区西安浐灞国家湿地公园(灞河西路北),8,10,42
西安,所有时段,秦始皇帝陵博物院丽山园,8,8,15
西安,所有时段,西安建筑科技大学(雁塔校区)西阶西花园,8,8,4
西安,所有时段,西安石油大学(鄠邑校区),7,39,17
西安,所有时段,西安交通大学科技创新港科创基地,7,29,20
西安,所有时段,灞渭桥车游湿地公园,7,12,40
西安,所有时段,朱雀国家森岭公园,7,10,16
西安,所有时段,长安区翠华山国家地质公园,7,10,13
西安,所有时段,沣河梁家滩湿地,7,8,32
西安,所有时段,若祁湖,7,8,8
西安,所有时段,西安建筑科技大学(雁塔校区)教学大楼,7,8,4
西安,所有时段,西安秦岭野生动物园,7,8,15
西安,所有时段,十里蛤蟆滩稻花乡里农业景区,7,7,23
西安,所有时段,未央区西安浐灞国家湿地公园,7,7,23
西安,所有时段,沣河生态湿地公园,7,7,16
西安,所有时段,长乐公园,7,7,9
西安,所有时段,西安市阎良石川河,6,30,67
西安,所有时段,创新港及渭河湿地,6,9,39
西安,所有时段,华清池,6,6,14
西安,所有时段,祥峪森林公园,6,6,29
西安,所有时段,西安建筑科技大学(雁塔校区)工科楼前柿子林,6,6,6
西安,所有时段,西安建筑科技大学(雁塔校区)西门广场林,6,6,1
西安,所有时段,西安建筑科技大学校史馆旁花园,6,6,6
西安,所有时段,西安环城公园,5,8,10
西安,所有时段,西安建筑科技大学(雁塔校区)西门广场林带,5,7,2
西安,所有时段,兴庆宫,5,6,24
西安,所有时段,洨河湿地公园,5,6,29
西安,所有时段,渭河天玑湖,5,6,20
西安,所有时段,长安公园,5,6,17
西安,所有时段,周至县秦岭国家植物园,5,5,24
西安,所有时段,桃花潭,5,5,30
西安,所有时段,汉城湖旅游景区,5,5,15
西安,所有时段,汉长安城未央宫遗址前殿遗址(未央区),5,5,16
西安,所有时段,浐灞湿地,5,5,35
西安,所有时段,灞渭生态滩区,5,5,50
西安,所有时段,祥峪沟村,5,5,29
西安,所有时段,西北工业大学长安校区海天苑,5,5,12
西安,所有时段,西安建筑科技大学西阶,5,5,4
西安,所有时段,西安祥峪森林公园,5,5,27
西安,所有时段,灞柳西路B坝广场,4,9,31
西安,所有时段,校史馆花园,4,8,8
西安,所有时段,西安建筑科技大学(雁塔校区校史馆花园),4,7,8
西安,所有时段,长安区王莽街道刘秀村,4,7,23
西安,所有时段,碑林区兴庆宫公园(兴庆宫公园通阳门西北100米),4,6,18
西安,所有时段,西安建筑科技大学(雁塔校区)图书馆花园,4,6,4
西安,所有时段,西安建筑科技大学(雁塔校区)若祈湖,4,6,6
西安,所有时段,西安电子科技大学(南校区),4,6,16
西安,所有时段,灞桥生态湿地公园,4,5,19
西安,所有时段,灞河1号坝,4,5,19
西安,所有时段,西安建筑科技大学(雁塔校区若祁湖),4,5,10
西安,所有时段,陕西省西安市西安植物园新区,4,5,17
西安,所有时段,中亚公园,4,4,20
西安,所有时段,太平国家森林公园,4,4,14
