地点名称,时间段,观鸟点名称,访问人数,访问次数,大概鸟种数
长沙,所有时段,岳麓山风景名胜区,63,113,43
长沙,所有时段,洋湖湿地公园,52,77,43
长沙,所有时段,岳麓山国家重点风景名胜区,37,69,42
长沙,所有时段,洋湖国家湿地公园,35,43,38
长沙,所有时段,西湖公园,30,67,21
长沙,所有时段,湖南松雅湖国家湿地公园,24,33,27
长沙,所有时段,麻潭山滴翠峰,23,61,31
长沙,所有时段,沙河大桥,20,34,48
长沙,所有时段,中南林业科技大学(东区),19,37,15
长沙,所有时段,月亮岛,17,20,39
长沙,所有时段,烈士公园,16,21,19
长沙,所有时段,湖南烈士公园,15,19,20
长沙,所有时段,大山冲森林公园,13,22,33
长沙,所有时段,岳麓山-l,11,13,21
长沙,所有时段,橘子洲景区,10,10,15
长沙,所有时段,浏阳市大围山国家森林公园,9,11,34
长沙,所有时段,望城区丁字湾街道赵家弯,9,10,25
长沙,所有时段,岳麓山国家重点风景名胜区-一洞天,8,30,19
长沙,所有时段,中南林业科技大学,8,17,14
长沙,所有时段,岳麓区岳麓山,8,8,18
长沙,所有时段,湖南省植物园,7,8,31
长沙,所有时段,岳麓区坪塘街道香泉寺,7,7,31
长沙,所有时段,滴翠峰,5,16,28
长沙,所有时段,湖南财政经济学院(岳麓区枫林二路139),5,15,1
长沙,所有时段,宁乡香山国家森林公园,5,14,24
长沙,所有时段,湖南农业大学,5,9,18
长沙,所有时段,湖南松雅湖国家湿地公园-关羽广场,5,7,16
长沙,所有时段,大围山国家森林公园,5,6,37
长沙,所有时段,大泽湖,5,6,25
长沙,所有时段,沃之园生态园,5,6,30
长沙,所有时段,能量谷,5,5,7
长沙,所有时段,西湖公园(长沙市岳麓区G319),5,5,21
长沙,所有时段,谷山猛禽观测点,5,5,17
长沙,所有时段,南郊公园,4,6,29
长沙,所有时段,望城区丁字湾街道曹家湾,4,6,26
长沙,所有时段,沙河,4,6,21
长沙,所有时段,赵家弯,4,6,40
长沙,所有时段,长沙西湖公园,4,5,15
长沙,所有时段,长沙县春华镇西脚岭,4,4,36
长沙,所有时段,长沙烈士公园,4,4,7
长沙,所有时段,宁乡玉潭公园,3,6,23
长沙,所有时段,影珠山,3,4,21
长沙,所有时段,望城区滴翠峰西南50米,3,3,25
长沙,所有时段,桃花岭景区,3,3,15
长沙,所有时段,湖南师范大学体育场(桃子湖路),3,3,8
长沙,所有时段,磨盘洲生态公园,3,3,25
长沙,所有时段,长沙松雅湖湿地公园,3,3,25
长沙,所有时段,岳麓山国家重点风景名胜区-观日台(猛禽观测点),2,8,10
长沙,所有时段,远大城,2,4,27
长沙,所有时段,中南林业科技大学生态站,2,3,5
长沙,所有时段,岳麓山风景名胜区-一洞天,2,3,14
长沙,所有时段,湖南省森林植物园,2,3,37
长沙,所有时段,后湖(长沙市岳麓区),2,2,12
长沙,所有时段,周洛大峡谷,2,2,17
长沙,所有时段,咸嘉湖景区(长沙市岳麓区G319),2,2,1
长沙,所有时段,团头湖,2,2,45
长沙,所有时段,大泽湖(长沙市望城区),2,2,13
长沙,所有时段,宁乡市凤凰山国家森林公园,2,2,9
长沙,所有时段,岳麓区咸嘉湖景区(枫林一路北200米),2,2,1
长沙,所有时段,岳麓区洋湖国家湿地公园(洋湖路北400米),2,2,26
长沙,所有时段,岳麓山,2,2,3
长沙,所有时段,施家港水上公园,2,2,21
长沙,所有时段,春华镇,2,2,28
长沙,所有时段,月亮岛(长沙市望城区镜月路),2,2,16
长沙,所有时段,松雅湖,2,2,9
长沙,所有时段,梅溪湖公园,2,2,9
长沙,所有时段,橘子洲公园,2,2,12
长沙,所有时段,洋湖体育公园(岳麓区洋湖大道680号),2,2,26
长沙,所有时段,洋湖湿地(长沙市岳麓区洋湖大道680号),2,2,28
长沙,所有时段,浏阳河边,2,2,17
长沙,所有时段,浏阳河风光带(长沙市芙蓉区),2,2,15
长沙,所有时段,湖南先导洋湖再生水有限公司,2,2,9
长沙,所有时段,湖南烈士公园(开福区营盘东路85号),2,2,12
长沙,所有时段,湘江江滩公园,2,2,18
长沙,所有时段,湘江江滩公园(长沙市岳麓区),2,2,23
长沙,所有时段,祷泉湖,2,2,16
长沙,所有时段,长沙市沙湾公园,2,2,12
长沙,所有时段,长沙理工大学(云塘校区),2,2,8
长沙,所有时段,长沙黑麋峰森林公园,2,2,8
长沙,所有时段,青山铺,2,2,39
长沙,所有时段,鸭棚洲(长沙市望城区),2,2,30
长沙,所有时段,湖南财政经济学院1,1,5,1
长沙,所有时段,宁乡市博兵寨露营基地,1,4,13
长沙,所有时段,九道湾社区公园(长沙市芙蓉区),1,3,9
长沙,所有时段,冠源·爱琴湾,1,3,14
长沙,所有时段,净土庵寺,1,3,24
长沙,所有时段,YueluMountainNationalKeyScenicArea,1,2,2
长沙,所有时段,三联村,1,2,11
长沙,所有时段,中南大学校本部研究生南楼,1,2,5
长沙,所有时段,中南林业科技大学东区(韶山南路498号),1,2,13
长沙,所有时段,云峰台,1,2,8
长沙,所有时段,树木岭,1,2,1
长沙,所有时段,江山帝景(长沙市岳麓区),1,2,5
长沙,所有时段,湖南有色金属研究院(高家坡路),1,2,5
长沙,所有时段,湖南省水稻研究所,1,2,1
长沙,所有时段,湖南财政经济学院,1,2,1
长沙,所有时段,潇湘北路佑母塘路路口,1,2,4
长沙,所有时段,西湖公园2,1,2,1
长沙,所有时段,长沙县长沙(北山)植物园,1,2,30
长沙,所有时段,长沙市岳麓区阳光壹佰国际新城,1,2,6
长沙,所有时段,雨花区新盛·珑璟台(圭塘路西),1,2,7
长沙,所有时段,青竹湖森林公园,1,2,9
长沙,所有时段,高桥镇紫竹山顶猛禽监测点,1,2,5
长沙,所有时段,鱼塘水库,1,2,21
长沙,所有时段,58小镇,1,1,1
长沙,所有时段,万亩花海,1,1,23
长沙,所有时段,东鹜山,1,1,11
长沙,所有时段,中南大学,1,1,5
长沙,所有时段,中南林业科技大学(西区),1,1,3
长沙,所有时段,中南林业科技大学(西区)西,1,1,1
长沙,所有时段,仁福村,1,1,4
长沙,所有时段,优米自然营地,1,1,2
长沙,所有时段,侯家塘,1,1,5
长沙,所有时段,八方公园,1,1,7
长沙,所有时段,农大荷花草莓基地,1,1,7
长沙,所有时段,凤形山完全小学,1,1,10
长沙,所有时段,刘家仑,1,1,17
长沙,所有时段,南轩文化园,1,1,6
长沙,所有时段,南郊公园(天心区南二环二段442号),1,1,8
长沙,所有时段,县城大林场,1,1,14
长沙,所有时段,后湖,1,1,9
长沙,所有时段,含浦油菜花,1,1,15
长沙,所有时段,咸嘉湖中央美郡(望岳南路),1,1,1
长沙,所有时段,咸嘉湖景区,1,1,1
长沙,所有时段,咸嘉湖景区(长沙市岳麓区枫林一路北),1,1,1
长沙,所有时段,回龙山景区,1,1,5
长沙,所有时段,圣爵菲斯大酒店-琴庐,1,1,2
长沙,所有时段,圭塘河生态公园,1,1,2
长沙,所有时段,坪塘洋湖渔场(长沙市岳麓区),1,1,16
长沙,所有时段,大围山国家森林公园-枫林瀑布,1,1,6
长沙,所有时段,大围山红莲寺,1,1,6
长沙,所有时段,大屋湾,1,1,4
长沙,所有时段,大泽湖近自然湿地公园,1,1,3
长沙,所有时段,天华山,1,1,7
长沙,所有时段,天华村委会,1,1,10
长沙,所有时段,天心公园(天心路西50米),1,1,10
长沙,所有时段,天心区中南林业科技大学青园女生公寓(陶铸路南),1,1,1
长沙,所有时段,天心区湖南省林业科学院东北50米(木莲西路北),1,1,8
长沙,所有时段,天心区青园天一康园(北区),1,1,2
长沙,所有时段,如愿茶坊,1,1,6
长沙,所有时段,宁乡八家湾水库,1,1,15
